"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1","M16.1","M17.1","M18.1","M19.1","M20.1","M21.1","M22.1","M23.1","M24.1","M25.1","M26.1","M27.1","M28.1","M29.1","M30.1","M31.1","M32.1","M33.1","M34.1","M35.1"
2003,"7","Enter Fleet",2,0,"1","Enter","Enter",131,0.579685143473183,10.1914393882018,2.2584555630045,0.92042752568249,0.154768149317954,2.97596173175765,2.46474296939794,6.34434873020459,5.80592106801009,5.99411595853401,2.3766179244004,3.59442657009845,4.45054852581059,1.36343703570724,1.39709753034821,0.406333596072194,0.207199044789963,0,0.207199044789963,0.228330355314571,0,0.392892773559307,0,0,0,0,0,0,0,0,0,0,0,0,0.190672676934988,0.579685143473183,10.1914393882018,2.2584555630045,0.92042752568249,0.154768149317954,2.97596173175765,2.46474296939794,6.34434873020459,5.80592106801009,5.99411595853401,2.3766179244004,3.59442657009845,4.45054852581059,1.36343703570724,1.39709753034821,0.406333596072194,0.207199044789963,0,0.207199044789963,0.228330355314571,0,0.392892773559307,0,0,0,0,0,0,0,0,0,0,0,0,0.190672676934988
2004,"7","Enter Fleet",2,0,"1","Enter","Enter",101,0,0.345563054838913,0.954677553410897,1.14432940409316,4.63150545126499,3.07484484372609,1.94514604362505,2.20175547190718,1.08065897666669,5.78403601646873,0.2025553079731,0.953139835702663,0.660572327388123,1.8301849306116,2.34199978405095,2.32798203856574,0,0.482787645975932,2.69649943020873,2.30367941304646,0.343601907616817,2.16449367468735,2.30367941304646,2.16449367468735,0.343601907616817,2.16449367468735,0,0,0,0,0.343601907616817,0,0,0,11.0866883900864,0,0.345563054838913,0.954677553410897,1.14432940409316,4.63150545126499,3.07484484372609,1.94514604362505,2.20175547190718,1.08065897666669,5.78403601646873,0.2025553079731,0.953139835702663,0.660572327388123,1.8301849306116,2.34199978405095,2.32798203856574,0,0.482787645975932,2.69649943020873,2.30367941304646,0.343601907616817,2.16449367468735,2.30367941304646,2.16449367468735,0.343601907616817,2.16449367468735,0,0,0,0,0.343601907616817,0,0,0,11.0866883900864
2005,"7","Enter Fleet",2,0,"1","Enter","Enter",141,0,0.314514119461487,0.351218658028192,1.26796369033208,0.440153170113041,1.15175332848666,7.17177617710622,10.1647113952793,4.32450711174804,4.93288794003354,5.44310052151992,5.63420870083657,0.709012585881708,0.138665528607386,1.80887267973615,2.47129123766428,0.162591712607894,0.113250604269069,0.164789376916089,0,0,0,0.131381334811676,0.195680738925633,0,0,0,0,0,0,0,0,0,0,0,0,0.314514119461487,0.351218658028192,1.26796369033208,0.440153170113041,1.15175332848666,7.17177617710622,10.1647113952793,4.32450711174804,4.93288794003354,5.44310052151992,5.63420870083657,0.709012585881708,0.138665528607386,1.80887267973615,2.47129123766428,0.162591712607894,0.113250604269069,0.164789376916089,0,0,0,0.131381334811676,0.195680738925633,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",2,0,"1","Enter","Enter",87,0,0,0.0629313437307785,0.0461728493865117,0.0300609018919466,0.194770475163032,3.33499915149543,4.26871860104001,4.9916567243435,2.61836192112721,2.87807156187427,4.59155002295359,3.16378414137661,4.92162512066328,2.3677979794541,0.715278306444116,0.0335357973241612,10.087811877155,0,2.38441305795171,0.669977707534838,2.3677979794541,0,0,0.0203697523847822,0.616622310418005,3.60104024921066,0,0,0,0,0,0,0,0.616622310418005,0,0,0.0629313437307785,0.0461728493865117,0.0300609018919466,0.194770475163032,3.33499915149543,4.26871860104001,4.9916567243435,2.61836192112721,2.87807156187427,4.59155002295359,3.16378414137661,4.92162512066328,2.3677979794541,0.715278306444116,0.0335357973241612,10.087811877155,0,2.38441305795171,0.669977707534838,2.3677979794541,0,0,0.0203697523847822,0.616622310418005,3.60104024921066,0,0,0,0,0,0,0,0.616622310418005
2007,"7","Enter Fleet",2,0,"1","Enter","Enter",131,0,0,0.379333001542094,5.92045100726427,2.45918293546987,2.92341996680453,2.6408815431725,1.391531232915,4.49985228752081,8.20881457364417,6.66767082549824,6.55593644808489,2.93763959135741,3.74956789502975,1.28629375292667,1.26041342332558,1.58735752794279,0.840107063966246,0.734593772294778,0.193328667008265,0.593899168151964,0.768978295459282,0,0.110416610482805,0.11878289820465,0.175155741663745,0,0,0,0,0,0,0.193328667008265,0,0,0,0,0.379333001542094,5.92045100726427,2.45918293546987,2.92341996680453,2.6408815431725,1.391531232915,4.49985228752081,8.20881457364417,6.66767082549824,6.55593644808489,2.93763959135741,3.74956789502975,1.28629375292667,1.26041342332558,1.58735752794279,0.840107063966246,0.734593772294778,0.193328667008265,0.593899168151964,0.768978295459282,0,0.110416610482805,0.11878289820465,0.175155741663745,0,0,0,0,0,0,0.193328667008265,0,0
2008,"7","Enter Fleet",2,0,"1","Enter","Enter",95,9.43663873403151,7.39313026652227,0,0.201843673124679,4.76784090499768,3.00095078243253,6.56990920014812,4.15842279473025,4.03289567281268,2.17244327244335,0.815783765798109,1.77020710679419,0.842254854782171,0.47171143688388,0.0884183608552326,0.493764199219109,0,0,0.111792734094218,0.0997557092943194,0,0.128235128573305,0.497171882235658,0,0,0.223948263338488,0.368923796692708,0.497171882235658,0,0,0,0,0.368923796692708,0,0.749625478792421,8.93997217361199,7.39313026652227,0,0.201843673124679,4.76784090499768,3.00095078243253,6.56990920014812,4.15842279473025,4.03289567281268,2.17244327244335,0.815783765798109,1.77020710679419,0.842254854782171,0.47171143688388,0.0884183608552326,0.493764199219109,0,0,0.111792734094218,0.0997557092943194,0,0.128235128573305,0.497171882235658,0,0,0.223948263338488,0.368923796692708,0.497171882235658,0,0,0,0,0.368923796692708,0,0.749625478792421
2009,"7","Enter Fleet",2,0,"1","Enter","Enter",84,0,5.12995898648011,0.895514741276837,0,3.5484513544173,5.62283237601984,8.98772270777169,13.9705958258506,5.55129672232123,4.28686294174031,4.15709703652754,2.23435171913061,1.15909934662064,1.87999980118365,0.717803507502832,1.15225547595679,0.750034697277248,0.399850275991511,0.788574482914984,0.386353704235438,0.373774746423122,0.772439771070615,0,0.32242659948713,0,0,0,0,0,0,0,0,0,0,0,0,5.12995898648011,0.895514741276837,0,3.5484513544173,5.62283237601984,8.98772270777169,13.9705958258506,5.55129672232123,4.28686294174031,4.15709703652754,2.23435171913061,1.15909934662064,1.87999980118365,0.717803507502832,1.15225547595679,0.750034697277248,0.399850275991511,0.788574482914984,0.386353704235438,0.373774746423122,0.772439771070615,0,0.32242659948713,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,"1","Enter","Enter",139,2.14951967531359,0.674773041383114,2.68835435252618,0,0.375001484114495,0.215186816418494,2.83356924773857,1.81240714499035,2.65818931768961,2.56156204779358,4.48870592131023,2.06926659171508,0.750263911436919,3.12501671667426,1.57339621368796,0.090351585745351,1.39716821821324,1.68264008768736,1.29275179356052,2.67585517286639,3.98063644831243,0,1.29275179356052,0.201356826398267,0,0.113027550514365,0,0,0,0,0,0.127496851394017,0,0,0.254993702788035,2.14951967531359,0.674773041383114,2.68835435252618,0,0.375001484114495,0.215186816418494,2.83356924773857,1.81240714499035,2.65818931768961,2.56156204779358,4.48870592131023,2.06926659171508,0.750263911436919,3.12501671667426,1.57339621368796,0.090351585745351,1.39716821821324,1.68264008768736,1.29275179356052,2.67585517286639,3.98063644831243,0,1.29275179356052,0.201356826398267,0,0.113027550514365,0,0,0,0,0,0.127496851394017,0,0,0.254993702788035
2011,"7","Enter Fleet",2,0,"1","Enter","Enter",122,0,0.845071935495862,0.749609294335464,11.185524731453,6.28085945776259,1.32231447010955,1.45855438692108,1.97759186229747,1.66591778764128,1.2971555270735,3.4749023288842,1.29835693727466,2.47743504293063,2.67339211385863,1.35123312036335,2.25291267769034,0.582683947562544,2.37086289096891,0.698754307232249,1.18230071184261,1.29435694801668,0.109116314740639,0.399051931874671,1.70046186448404,1.57366361842986,1.13365066581447,0.289935617134032,0.289935617134032,0.0932435658476677,0.566825332907233,0,0,0,0,2.94888254010343,0,0.845071935495862,0.749609294335464,11.185524731453,6.28085945776259,1.32231447010955,1.45855438692108,1.97759186229747,1.66591778764128,1.2971555270735,3.4749023288842,1.29835693727466,2.47743504293063,2.67339211385863,1.35123312036335,2.25291267769034,0.582683947562544,2.37086289096891,0.698754307232249,1.18230071184261,1.29435694801668,0.109116314740639,0.399051931874671,1.70046186448404,1.57366361842986,1.13365066581447,0.289935617134032,0.289935617134032,0.0932435658476677,0.566825332907233,0,0,0,0,2.94888254010343
2012,"7","Enter Fleet",2,0,"1","Enter","Enter",152,0.199946730822784,3.73275820699446,1.55939896811931,0.981358820713896,4.40963890241233,3.12595163351377,4.14739613447024,2.23652941855426,3.91392871242547,3.19715857284988,6.49957104575815,1.72665455116972,2.13361251187005,2.42898349886442,2.17674877124991,1.16686435965579,3.00365195353914,1.09629072768443,1.52383563765043,1.70875246833775,2.03557474784109,0.513255479937269,0.966658953993877,1.43059673787836,0.0940595233996367,0.513255479937269,0.56428578182151,0.404094697825865,0.513255479937269,0.404094697825865,0,0,0,1.0265020400525,1.53976643981181,0.199946730822784,3.73275820699446,1.55939896811931,0.981358820713896,4.40963890241233,3.12595163351377,4.14739613447024,2.23652941855426,3.91392871242547,3.19715857284988,6.49957104575815,1.72665455116972,2.13361251187005,2.42898349886442,2.17674877124991,1.16686435965579,3.00365195353914,1.09629072768443,1.52383563765043,1.70875246833775,2.03557474784109,0.513255479937269,0.966658953993877,1.43059673787836,0.0940595233996367,0.513255479937269,0.56428578182151,0.404094697825865,0.513255479937269,0.404094697825865,0,0,0,1.0265020400525,1.53976643981181
