"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
2003,"7","Enter Fleet",3,0,"1","Enter","Enter",116,0,0,3.3010426338215,2.35394384120475,1.0039943786974,0.772999234223747,3.43320682597431,5.06997175323491,3.46261300809815,5.17567505654496,1.81776021198632,2.74763137644308,3.01668158013582,2.7657005169691,1.74749392942329,0.646164620389097,7.99006641402595,0.600091818349271,0.207199044789963,0.415823985533467,0,0.207199044789963,0,0.321153844355743,0,0,0.438965575599133,0,0,0,0,0,0,0,0,0,0,0.579685143473183,10.1914393882018,2.2584555630045,0.92042752568249,0.154768149317954,2.97596173175765,2.46474296939794,6.34434873020459,5.80592106801009,5.99411595853401,2.3766179244004,3.59442657009845,4.45054852581059,1.36343703570724,1.39709753034821,0.406333596072194,0.207199044789963,0,0.207199044789963,0.228330355314571,0,0.392892773559307,0,0,0,0,0,0,0,0,0,0,0,0,0.190672676934988
2004,"7","Enter Fleet",3,0,"1","Enter","Enter",89,0,0,0.244541687137069,1.63651049954765,0.650699733985979,5.18005838647281,1.06710923222312,4.71299334691948,1.10922932597041,1.17833747978542,6.23448701904397,5.96440584649187,2.61524553507506,0.93033035636385,1.18842178794449,0.211792757104451,0,0,2.16449367468735,4.3289873493747,2.54129022761454,0,0,0,0,0,0,0,0,0,0,0,0,2.16449367468735,0,0,0,0,0.345563054838913,0.954677553410897,1.14432940409316,4.63150545126499,3.07484484372609,1.94514604362505,2.20175547190718,1.08065897666669,5.78403601646873,0.2025553079731,0.953139835702663,0.660572327388123,1.8301849306116,2.34199978405095,2.32798203856574,0,0.482787645975932,2.69649943020873,2.30367941304646,0.343601907616817,2.16449367468735,2.30367941304646,2.16449367468735,0.343601907616817,2.16449367468735,0,0,0,0,0.343601907616817,0,0,0,11.0866883900864
2005,"7","Enter Fleet",3,0,"1","Enter","Enter",126,0,0.105576192913634,0.137257900426694,0.350746590942076,1.41339353919717,0.684519574339445,0.998593261389308,7.50897176398792,6.40329787106005,16.0229439279795,6.58352961832569,4.6759545397586,0.869636322316595,2.99979752026036,3.47440365822836,0.303843504400394,0.139523408003047,0,0,0,0.164567886288511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314091386327803,0.350746590942076,1.26625944167982,0.439561567646286,1.15020527622555,7.16213671347064,10.2854574944761,4.31869461453451,4.92625772838971,5.43578454173384,5.62663585576363,0.708059613999987,0.138479150604572,1.80644140441647,2.46796961671152,0.162373175823919,0.113098386038243,0.164567886288511,0,0,0,0.131204747371126,0.195417727738379,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",3,0,"1","Enter","Enter",77,0,0,0.0252092668841974,0.0640750224021651,0.048516967623004,0.0221606497141457,0.551141563748806,0.352104705826189,1.41911366380108,3.20915730321629,3.65221986457793,2.59232591367609,6.09149203343682,3.12954538066451,3.86128401690875,4.76798319212971,3.05404215727485,2.40729577103207,2.38605652296068,2.36722890265836,0,0,0,2.36722890265836,0.0335277373273838,0.616474111352188,0,0,2.36722890265836,0,0,0.0197020116571881,0,0,0,0,0,0,0,0.0629162188055302,0.0461617521994175,0.0540876867386728,0.194723664008164,3.3341976174763,4.26769265679794,4.99045702908284,2.61773262376945,2.8773798458763,4.5904464893763,3.16302375718961,4.92044225680503,2.36722890265836,0.715106396386658,0.0335277373273838,10.0853873714712,0,2.38383998788639,0.66981668502771,2.36722890265836,0,0,0.0203648567165208,0.616474111352188,3.60017477484834,0,0,0,0,0,0,0,0.616474111352188
2007,"7","Enter Fleet",3,0,"1","Enter","Enter",116,0,0,0.134384620351971,1.412568741666,5.50660186253228,2.71722580686626,2.58499880795241,1.17498554699682,2.11677965359923,2.94887171701066,4.61166333638053,3.26403746977417,4.64196185019252,3.84973222540748,1.37100774999258,2.05547872110891,0.770408573928527,1.95647297143034,1.05470962853104,0.296542878364933,0.296542878364933,0.296542878364933,0,0.193068863013074,0,0,0,0.296542878364933,0,0,0.193068863013074,0,0,0,0,0,0,0,0,0.513207856680073,5.91249483165503,2.45587817181828,2.91949133998085,2.63733260453676,1.38966122895057,4.49380517810782,8.19778318934398,6.65871050137307,6.54712627777861,2.93369185554526,3.74452905244918,1.28456517195019,1.25871962153178,1.58522436355523,0.838978089277784,0.73360659124275,0.193068863013074,0.593101059009569,0.76794490689634,0,0.110268227540002,0.118623272257854,0.174920359285286,0,0,0,0,0,0,0.193068863013074,0,0
2008,"7","Enter Fleet",3,0,"1","Enter","Enter",85,0,2.41255373835687,8.20265753506391,0,1.62973883470105,3.24897954867899,2.75955816758198,1.91379230261173,5.53376838854728,5.38384918253752,4.2894012156421,2.63998784534128,3.20838429768139,1.55598764847005,0.843663723290685,0.864785841484167,1.3138007867045,0.370102812350875,0.373753238021978,1.18064836343235,0.124580216782417,0.849516992039177,0.120929791111314,0,0.106504315873096,0.11600801029269,0.124580216782417,0,0,0,0,0,0,0.124580216782417,0,0,0.482510747671375,8.91751158286359,9.80023486083507,0,0.196090796911841,4.63194960801351,2.91541875606333,6.38265599685006,4.03990091485961,3.91795152209533,2.11052507093469,0.792532588545795,1.71975329668054,0.818249208014975,0.458266886145363,0.0858982923434587,0.479691108532316,0,0,0.108606457552661,0.0969125077304057,0,0.124580216782417,0.483001666985764,0,0,0.217565369997705,0.35840886252862,0.483001666985764,0,0,0,0,0.35840886252862,0,0.728259921384936
2009,"7","Enter Fleet",3,0,"1","Enter","Enter",75,0,0.33702040056636,2.24264564593756,0,0,2.60193312942563,2.27158155064801,5.94938025169716,8.9623690066319,4.22532027299218,0.971839487111089,0.969013715166709,1.04783391393528,0.790311897404133,0.3807256733061,0.746945717297718,0.771134325141609,1.12978130032229,0.393950286005798,0,0.749055627016188,0.726713190175959,0.749055627016188,0,0.358383236465871,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51193493038428,0.882469739750172,0,3.49676091181256,5.54092433637688,8.85679816678987,13.7670855590997,5.47043074560442,4.22441602596997,4.09654042624698,2.20180382210145,1.14221469687756,1.85261376369463,0.707347233117143,1.13547052117031,0.739108909771972,0.394025639924314,0.777087284704436,0.3807256733061,0.368329953710088,0.761187607897392,0,0.317729797426061,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",3,0,"1","Enter","Enter",123,0,1.34929389367306,0,1.88102828809681,0,0.245801181762785,0.491602363525569,2.1807512557626,3.4157871793957,1.41967209452084,1.55186395325609,3.72963623755424,2.94972228898882,4.8575252843206,5.02514047712312,5.16021521146914,6.20578614756647,3.74896351612807,2.47714690449429,1.89324447349742,1.37335389304123,0.0831829733522594,1.37014669392426,1.35653711864511,1.29746219258786,0.0942580204902786,0.0831829733522594,0,0,0,0,0,0,0,0,0,0,9.76052793140101,0.773811861855964,2.47505681967649,0,0.345248378352439,0.19811361436806,2.60875017612568,1.66860840351033,2.44728511795946,2.35832438140396,4.13256615208538,1.90508828746498,0.690736996339108,2.87707382359756,1.44856091053704,0.0831829733522594,1.28631507355957,1.54913723340758,1.1901831839223,2.46354934119686,3.66480757225718,0,1.1901831839223,0.185380913753851,0,0.104059797566877,0,0,0,0,0,0.11738108528495,0,0,0.2347621705699
2011,"7","Enter Fleet",3,0,"1","Enter","Enter",109,0,0,0.886199307862633,2.23708885694871,7.47077951872413,6.43369944438721,1.20555421376764,0.44248036720325,1.7819131118201,1.6406453643292,1.31885553560702,0.556780992626547,0.930041993270042,1.42026373732785,1.6228408708973,2.08784075548477,3.24758182607389,0.988592738469022,1.43055234183276,1.69329881091318,1.62385424917959,0.930041993270042,0.826029972351663,0.930041993270042,0,1.32005188496805,0.114272476026566,0,0.564437628537183,0,0,0.564437628537183,0,0,0,0,0,0.421241647370255,0.841512140553316,0.746451627795165,11.1384066428072,6.2544018619137,1.31674433085225,1.45241034839382,1.96926142175847,1.65890024810878,1.2916913677623,3.46026459306951,1.29288771712333,2.46699905474326,2.66213067287755,1.34554116370732,2.24342247121302,0.580229440102869,2.36087582907011,0.695810863077393,1.17732036884718,1.288904577486,0.108656671378876,0.397370958942979,1.69329881091318,1.56703469187952,1.12887525707437,0.288714287564103,0.288714287564103,0.0928507851148242,0.564437628537183,0,0,0,0,2.93646061871248
2012,"7","Enter Fleet",3,0,"1","Enter","Enter",136,0,0,2.17771337225597,1.02394040983149,0.632352133506215,3.69646206508387,1.61744473805449,0.592758902757706,5.03588024080156,3.75691864075179,3.30888366367534,2.66594991580548,1.09105440603428,0.485186296817967,0.56059422233574,0.62456372261022,1.52761668543225,1.16162991819084,1.64288345307123,0.175603389783747,0.669777632729216,0.751483118212398,0.493017548257945,1.37418756121378,1.35537199429672,0.57247818923645,0,0,0,0.493017548257945,0,0,0,0,0,0,0,1.3204398147335,6.12784286636826,1.77031693520119,0.942663329788135,4.23576453706037,3.00269372772452,3.98386213844402,2.14834189530165,3.75960045880509,3.07109294024678,6.24328956429196,1.65857166027757,2.04948305600793,2.33320741069439,2.09091843014768,1.12085428842842,2.88521638801606,1.05306341163071,1.46375000246333,1.64137546592305,1.95531097222588,0.493017548257945,0.928543086491545,1.37418756121378,0.0903507072588247,0.493017548257945,0.542035698682576,0.388161032806689,0.493017548257945,0.388161032806689,0,0,0,0.986026528407093,1.47905264477384
