"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F.999.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1","F16.1","F17.1","F18.1","F19.1","F20.1","F21.1","F22.1","F23.1","F24.1","F25.1","F26.1","F27.1","F28.1","F29.1","F30.1","F31.1","F32.1","F33.1","F34.1","F35.1"
2003,"7","Enter Fleet",1,0,"1","Enter","Enter",131,0,0,3.3010426338215,2.35394384120475,1.0039943786974,0.772999234223747,3.43320682597431,5.06997175323491,3.46261300809815,5.17567505654496,1.81776021198632,2.74763137644308,3.01668158013582,2.7657005169691,1.74749392942329,0.646164620389097,7.99006641402595,0.600091818349271,0.207199044789963,0.415823985533467,0,0.207199044789963,0,0.321153844355743,0,0,0.438965575599133,0,0,0,0,0,0,0,0,0,0,0,3.3010426338215,2.35394384120475,1.0039943786974,0.772999234223747,3.43320682597431,5.06997175323491,3.46261300809815,5.17567505654496,1.81776021198632,2.74763137644308,3.01668158013582,2.7657005169691,1.74749392942329,0.646164620389097,7.99006641402595,0.600091818349271,0.207199044789963,0.415823985533467,0,0.207199044789963,0,0.321153844355743,0,0,0.438965575599133,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",1,0,"1","Enter","Enter",101,0,0,0.244541687137069,1.63651049954765,0.650699733985979,5.18005838647281,1.06710923222312,4.71299334691948,1.10922932597041,1.17833747978542,6.23448701904397,5.96440584649187,2.61524553507506,0.93033035636385,1.18842178794449,0.211792757104451,0,0,2.16449367468735,4.3289873493747,2.54129022761454,0,0,0,0,0,0,0,0,0,0,0,0,2.16449367468735,0,0,0,0,0.244541687137069,1.63651049954765,0.650699733985979,5.18005838647281,1.06710923222312,4.71299334691948,1.10922932597041,1.17833747978542,6.23448701904397,5.96440584649187,2.61524553507506,0.93033035636385,1.18842178794449,0.211792757104451,0,0,2.16449367468735,4.3289873493747,2.54129022761454,0,0,0,0,0,0,0,0,0,0,0,0,2.16449367468735,0,0
2005,"7","Enter Fleet",1,0,"1","Enter","Enter",141,0,0.105718287083724,0.137442634758471,0.351218658028192,1.41529581447743,0.685440863866393,0.999937260228621,7.51907803019803,6.41191601944862,16.0445090825567,6.59239033920949,4.68224787030378,0.870806759022918,3.0038349242178,3.47907983086492,0.304252444990158,0.139711191463705,0,0,0,0.164789376916089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105718287083724,0.137442634758471,0.351218658028192,1.41529581447743,0.685440863866393,0.999937260228621,7.51907803019803,6.41191601944862,16.0445090825567,6.59239033920949,4.68224787030378,0.870806759022918,3.0038349242178,3.47907983086492,0.304252444990158,0.139711191463705,0,0,0,0.164789376916089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",1,0,"1","Enter","Enter",87,0,0,0.0252153271383644,0.0640904259013345,0.0485286309988791,0.022165977087226,0.551274057009069,0.352189351048936,1.41945481570899,3.20992877780968,3.65309785046918,2.59294910331475,6.09295641517185,3.13029771672098,3.86221226137778,4.76912940515292,3.05477634251692,2.40787447981779,2.38663012587632,2.3677979794541,0,0,0,2.3677979794541,0.0335357973241612,0.616622310418005,0,0,2.3677979794541,0,0,0.0197067479789063,0,0,0,0,0,0,0.0252153271383644,0.0640904259013345,0.0485286309988791,0.022165977087226,0.551274057009069,0.352189351048936,1.41945481570899,3.20992877780968,3.65309785046918,2.59294910331475,6.09295641517185,3.13029771672098,3.86221226137778,4.76912940515292,3.05477634251692,2.40787447981779,2.38663012587632,2.3677979794541,0,0,0,2.3677979794541,0.0335357973241612,0.616622310418005,0,0,2.3677979794541,0,0,0.0197067479789063,0,0,0,0
2007,"7","Enter Fleet",1,0,"1","Enter","Enter",131,0,0,0.134565455628642,1.41446957122929,5.51401184641825,2.72088225415372,2.58847732337633,1.17656667165171,2.11962810778475,2.95283987967256,4.61786904216119,3.26842973666726,4.64820832730634,3.85491263511708,1.37285265281806,2.05824468541532,0.771445277736236,1.95910570819859,1.05612890334823,0.296941922640339,0.296941922640339,0.296941922640339,0,0.193328667008265,0,0,0,0.296941922640339,0,0,0.193328667008265,0,0,0,0,0,0,0,0.134565455628642,1.41446957122929,5.51401184641825,2.72088225415372,2.58847732337633,1.17656667165171,2.11962810778475,2.95283987967256,4.61786904216119,3.26842973666726,4.64820832730634,3.85491263511708,1.37285265281806,2.05824468541532,0.771445277736236,1.95910570819859,1.05612890334823,0.296941922640339,0.296941922640339,0.296941922640339,0,0.193328667008265,0,0,0,0.296941922640339,0,0,0.193328667008265,0,0,0,0,0
2008,"7","Enter Fleet",1,0,"1","Enter","Enter",95,0,2.48333280209758,8.44330561319248,0,1.67755181686515,3.34429752104665,2.84051758429221,1.96993879386679,5.69611708125082,5.5417995727828,4.41524289005726,2.71743932963749,3.30251129394259,1.60163693171703,0.868414976494761,0.890156771558519,1.35234483575357,0.380960821492607,0.384718342689561,1.21528601085224,0.128235128573305,0.874439967379533,0.124477607376351,0,0.109628920163558,0.119411432245285,0.128235128573305,0,0,0,0,0,0,0.128235128573305,0,0,0,2.48333280209758,8.44330561319248,0,1.67755181686515,3.34429752104665,2.84051758429221,1.96993879386679,5.69611708125082,5.5417995727828,4.41524289005726,2.71743932963749,3.30251129394259,1.60163693171703,0.868414976494761,0.890156771558519,1.35234483575357,0.380960821492607,0.384718342689561,1.21528601085224,0.128235128573305,0.874439967379533,0.124477607376351,0,0.109628920163558,0.119411432245285,0.128235128573305,0,0,0,0,0,0,0.128235128573305,0,0
2009,"7","Enter Fleet",1,0,"1","Enter","Enter",84,0,0.342002363620583,2.2757972822569,0,0,2.64039588924247,2.30516092845708,6.03732624119712,9.09485413570516,4.28778055568406,0.98620558605135,0.983338042477114,1.06332339124115,0.80199458684241,0.386353704235438,0.757987351456464,0.782533524451926,1.146482154894,0.399773808162864,0,0.76012845065856,0.737455739464932,0.76012845065856,0,0.36368099304181,0,0,0,0,0,0,0,0,0,0,0,0,0.342002363620583,2.2757972822569,0,0,2.64039588924247,2.30516092845708,6.03732624119712,9.09485413570516,4.28778055568406,0.98620558605135,0.983338042477114,1.06332339124115,0.80199458684241,0.386353704235438,0.757987351456464,0.782533524451926,1.146482154894,0.399773808162864,0,0.76012845065856,0.737455739464932,0.76012845065856,0,0.36368099304181,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",1,0,"1","Enter","Enter",139,0,1.46557448017177,0,2.04313312944101,0,0.266984043192364,0.533968086384727,2.36868587565299,3.71015576613383,1.54201779293452,1.68560179309735,4.05105197297202,3.20392594275193,5.27614119271661,5.45820126888854,5.60491658754651,6.74059361709429,4.0720448540499,2.69062455843517,2.05640209156419,1.49170794244584,0.090351585745351,1.48822435061999,1.47344191789083,1.40927598306113,0.102381067630869,0.090351585745351,0,0,0,0,0,0,0,0,0,0,1.46557448017177,0,2.04313312944101,0,0.266984043192364,0.533968086384727,2.36868587565299,3.71015576613383,1.54201779293452,1.68560179309735,4.05105197297202,3.20392594275193,5.27614119271661,5.45820126888854,5.60491658754651,6.74059361709429,4.0720448540499,2.69062455843517,2.05640209156419,1.49170794244584,0.090351585745351,1.48822435061999,1.47344191789083,1.40927598306113,0.102381067630869,0.090351585745351,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",1,0,"1","Enter","Enter",122,0,0,0.889948140068599,2.24655227074302,7.50238267911365,6.4609155113223,1.21065399258998,0.444352163577229,1.78945102479583,1.64758568139534,1.32443460575866,0.55913630761981,0.933976290381694,1.42627178810403,1.62970587075455,2.09667281458891,3.2613198635933,0.992774719050224,1.43660391583401,1.70046186448404,1.63072353586612,0.933976290381694,0.829524274069087,0.933976290381694,0,1.32563601595982,0.11475587556726,0,0.566825332907233,0,0,0.566825332907233,0,0,0,0,0,0,0.889948140068599,2.24655227074302,7.50238267911365,6.4609155113223,1.21065399258998,0.444352163577229,1.78945102479583,1.64758568139534,1.32443460575866,0.55913630761981,0.933976290381694,1.42627178810403,1.62970587075455,2.09667281458891,3.2613198635933,0.992774719050224,1.43660391583401,1.70046186448404,1.63072353586612,0.933976290381694,0.829524274069087,0.933976290381694,0,1.32563601595982,0.11475587556726,0,0.566825332907233,0,0,0.566825332907233,0,0,0,0
2012,"7","Enter Fleet",1,0,"1","Enter","Enter",152,0,0,2.26710656850343,1.06597225257439,0.658309625932991,3.84819854382121,1.68383940538326,0.617091128291481,5.24259864386594,3.91113680812731,3.44471039389399,2.77538478774302,1.13584121860468,0.505102762593763,0.583606116357651,0.65020150769968,1.59032399112799,1.20931379273866,1.71032235701659,0.18281175268616,0.697271408598673,0.782330831561113,0.513255479937269,1.43059673787836,1.41100880868106,0.595977909525531,0,0,0,0.513255479937269,0,0,0,0,0,0,0,0,2.26710656850343,1.06597225257439,0.658309625932991,3.84819854382121,1.68383940538326,0.617091128291481,5.24259864386594,3.91113680812731,3.44471039389399,2.77538478774302,1.13584121860468,0.505102762593763,0.583606116357651,0.65020150769968,1.59032399112799,1.20931379273866,1.71032235701659,0.18281175268616,0.697271408598673,0.782330831561113,0.513255479937269,1.43059673787836,1.41100880868106,0.595977909525531,0,0,0,0.513255479937269,0,0,0,0,0,0
