"year","month","fleet","sex","partition","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F12.1","F14.1","F16.1","F18.1","F20.1","F22.1","F24.1","F26.1","F28.1","F30.1","F32.1","F34.1","F36.1","F38.1","F40.1","F42.1","F44.1","F46.1","F48.1","F50.1","F52.1","F54.1","F56.1","F58.1","F60.1","F62.1","F64.1","F66.1"
2003,"7","Enter Fleet",1,0,136,0,0.943122272549719,1.25749636339963,1.58753099108379,0,0.954688697611589,0.559394375719546,0.319698673373553,1.21378109343658,0.319698673373553,0.414802876348428,0.416324185640899,1.98457034422307,2.04723486375557,4.9069607506677,3.93629830548517,2.87567726228759,3.87343243619338,3.47910011870687,3.58190035692601,2.57474886091967,0.699242969649432,7.92215102395302,0.307371593665447,0,0,0,0,0,0.943122272549719,1.25749636339963,1.58753099108379,0,0.954688697611589,0.559394375719546,0.319698673373553,1.21378109343658,0.319698673373553,0.414802876348428,0.416324185640899,1.98457034422307,2.04723486375557,4.9069607506677,3.93629830548517,2.87567726228759,3.87343243619338,3.47910011870687,3.58190035692601,2.57474886091967,0.699242969649432,7.92215102395302,0.307371593665447,0,0,0,0
2004,"7","Enter Fleet",1,0,101,0,0.122270816319549,0.122270816319549,0.723930592786702,0.489094408157657,0.635378129714483,0.479388960147603,0.159800034342354,0.720821729417235,1.94253817634075,1.042238087454,1.49249956069198,1.77782413215633,2.42046741927903,2.81872507407508,5.08459618371979,4.5840134668384,2.08875504062081,2.9816339717869,2.28383343133496,5.53601651642165,4.85325886324132,4.06494471293213,3.45380234604413,1.86594202292959,0.466485505732399,0.466485505732399,0,0,0.122270816319549,0.122270816319549,0.723930592786702,0.489094408157657,0.635378129714483,0.479388960147603,0.159800034342354,0.720821729417235,1.94253817634075,1.042238087454,1.49249956069198,1.77782413215633,2.42046741927903,2.81872507407508,5.08459618371979,4.5840134668384,2.08875504062081,2.9816339717869,2.28383343133496,5.53601651642165,4.85325886324132,4.06494471293213,3.45380234604413,1.86594202292959,0.466485505732399,0.466485505732399,0
2005,"7","Enter Fleet",1,0,144,0,0.104735483644409,0.136164907906519,0.125647463698137,0.251277369058698,1.07163801731252,0.125647463698137,0.125647463698137,0.125647463698137,0.251294927396274,0.446438291222587,0.979878145137218,2.5580742015346,3.84169402840939,3.91658033817358,3.83331870138535,3.08148824469299,6.11721946166137,6.48197636647762,4.76359454286868,3.45816726072375,2.74837146418977,0,0,0.163257422787211,0,0,0,0,0.104735483644409,0.136164907906519,0.125647463698137,0.251277369058698,1.07163801731252,0.125647463698137,0.125647463698137,0.125647463698137,0.251294927396274,0.446438291222587,0.979878145137218,2.5580742015346,3.84169402840939,3.91658033817358,3.83331870138535,3.08148824469299,6.11721946166137,6.48197636647762,4.76359454286868,3.45816726072375,2.74837146418977,0,0,0.163257422787211,0,0,0
2006,"7","Enter Fleet",1,0,87,0,0.0252153295096941,0.0252153295096941,0.0252153295096941,0.0234849348692153,0.015390167549693,0,0,0.0233133060529722,0.107801705238088,0.107801705238088,0.153337416375035,0.151745735435355,0.294249376670001,0.678963597057859,2.88090253246547,2.99363210070144,4.17348616918604,8.16957632368725,7.94894630486685,6.07066640177836,3.40789704151889,4.94150866431637,2.81385679338594,2.13734302134898,0.0197067498321917,0,0,0,0.0252153295096941,0.0252153295096941,0.0252153295096941,0.0234849348692153,0.015390167549693,0,0,0.0233133060529722,0.107801705238088,0.107801705238088,0.153337416375035,0.151745735435355,0.294249376670001,0.678963597057859,2.88090253246547,2.99363210070144,4.17348616918604,8.16957632368725,7.94894630486685,6.07066640177836,3.40789704151889,4.94150866431637,2.81385679338594,2.13734302134898,0.0197067498321917,0,0
2007,"7","Enter Fleet",1,0,131,0,0,0,0.395088552085113,0.395088552085113,1.01059008930671,0.91162259045398,3.3226050868896,1.82722900962784,1.64553577516497,0.94128679199894,1.36542664890288,1.50771062387524,0.776294993323256,0.230617715626645,1.94366406517544,1.15789981743339,5.6421433917858,3.20207894569505,5.81904070936667,5.46431140669758,3.56279931386212,1.4270227698795,0.739858282954499,0.667061474307752,0,0,0,0,0,0,0.395088552085113,0.395088552085113,1.01059008930671,0.91162259045398,3.3226050868896,1.82722900962784,1.64553577516497,0.94128679199894,1.36542664890288,1.50771062387524,0.776294993323256,0.230617715626645,1.94366406517544,1.15789981743339,5.6421433917858,3.20207894569505,5.81904070936667,5.46431140669758,3.56279931386212,1.4270227698795,0.739858282954499,0.667061474307752,0,0,0
2008,"7","Enter Fleet",1,0,95,0.258076195613676,1.03229070531536,0.258076195613676,4.6452870582101,4.25817980335926,0,0.238677897596131,0,1.39415764932044,1.31331263806154,1.98345485658492,2.64612211411605,2.41520072029907,3.56537339049027,2.60819830072036,2.59861176882634,4.26901920065498,2.56578387987358,3.26992238991536,2.08526072832867,3.96268657136631,3.30215903901564,0.745159294093401,0.57643070190306,0.297787805706197,0.260976086318766,0,0,0.258076195613676,1.03229070531536,0.258076195613676,4.6452870582101,4.25817980335926,0,0.238677897596131,0,1.39415764932044,1.31331263806154,1.98345485658492,2.64612211411605,2.41520072029907,3.56537339049027,2.60819830072036,2.59861176882634,4.26901920065498,2.56578387987358,3.26992238991536,2.08526072832867,3.96268657136631,3.30215903901564,0.745159294093401,0.57643070190306,0.297787805706197,0.260976086318766,0,0
2009,"7","Enter Fleet",1,0,87,0.341084668310889,0,0.386918516417059,1.00159541447984,0.881214833389005,0,0,1.23385329202949,0.612655938038128,2.19586839508319,1.62424175867754,8.56143489687003,5.0103412143148,4.13076602773825,3.62014950528424,1.35606417653887,1.07404492479741,1.63038090139393,1.08941184724898,1.46279374463302,3.35925500549854,2.23701209067933,0.740167076197057,0.367395279952534,0,0,0,0,0.341084668310889,0,0.386918516417059,1.00159541447984,0.881214833389005,0,0,1.23385329202949,0.612655938038128,2.19586839508319,1.62424175867754,8.56143489687003,5.0103412143148,4.13076602773825,3.62014950528424,1.35606417653887,1.07404492479741,1.63038090139393,1.08941184724898,1.46279374463302,3.35925500549854,2.23701209067933,0.740167076197057,0.367395279952534,0,0,0,0
2010,"7","Enter Fleet",1,0,139,0,0.0977101204669628,1.36787645077805,0.11592394449846,0.631586528450358,0.906933621831956,0.388687701806822,0,0,0.246147567462908,0.141979106812857,0.63478308066219,1.51923645979625,2.04104425228599,1.46419052599332,0.726739407147856,1.41720773205534,1.25392262621423,3.23607203489122,7.94960354924282,10.293393913869,11.9842004209533,4.9878348355824,1.6400400390997,1.04221953972779,0,0,0,0,0.0977101204669628,1.36787645077805,0.11592394449846,0.631586528450358,0.906933621831956,0.388687701806822,0,0,0.246147567462908,0.141979106812857,0.63478308066219,1.51923645979625,2.04104425228599,1.46419052599332,0.726739407147856,1.41720773205534,1.25392262621423,3.23607203489122,7.94960354924282,10.293393913869,11.9842004209533,4.9878348355824,1.6400400390997,1.04221953972779,0,0,0
2011,"7","Enter Fleet",1,0,122,0,0,0,0.621665296354262,1.53117393582415,1.2628782157642,4.31766428095206,4.01996938811134,1.60836089859137,2.45672491236432,1.12484344587139,1.01029974576783,0.787445535558935,0.8420601526863,0.897226004303304,0.631276564378747,1.23209388965049,0.928335417423731,1.16781146762791,3.11629818054456,4.63551456820884,4.66015050963042,3.08178242096251,1.61781669022134,0.581566520787406,0,0,0,0,0,0,0.621665296354262,1.53117393582415,1.2628782157642,4.31766428095206,4.01996938811134,1.60836089859137,2.45672491236432,1.12484344587139,1.01029974576783,0.787445535558935,0.8420601526863,0.897226004303304,0.631276564378747,1.23209388965049,0.928335417423731,1.16781146762791,3.11629818054456,4.63551456820884,4.66015050963042,3.08178242096251,1.61781669022134,0.581566520787406,0,0,0
2012,"7","Enter Fleet",1,0,152,0,0.210372958395622,0.77547794218101,1.30505346919831,0.22212384181025,0.390270411400571,0.473830264739546,0.14854688182808,0.530495239017076,1.23400348490485,1.7526406895947,2.08771052252321,1.45358249254096,1.82140478775279,4.454593818571,3.74369215971415,3.44321421306852,1.53295453104599,3.25426250794926,2.53395835651216,2.96545508153381,4.38294557501555,2.23205173103192,0.764048511504168,0.382019791130726,0,0,0,0,0.210372958395622,0.77547794218101,1.30505346919831,0.22212384181025,0.390270411400571,0.473830264739546,0.14854688182808,0.530495239017076,1.23400348490485,1.7526406895947,2.08771052252321,1.45358249254096,1.82140478775279,4.454593818571,3.74369215971415,3.44321421306852,1.53295453104599,3.25426250794926,2.53395835651216,2.96545508153381,4.38294557501555,2.23205173103192,0.764048511504168,0.382019791130726,0,0,0
2013,"7","Enter Fleet",1,0,103,0.144428070256868,0.28886903357482,0.930401966965399,1.61533294396289,3.94693989641715,13.827962728739,5.05820572426126,2.50380667628489,1.60318768042227,2.10688089776963,2.00360747849115,0.833549292106481,0.52202715020803,0.119724965220968,0.332602296769901,0.980078931319953,2.05163413102702,1.32886201974959,1.7532629114337,1.31297776849477,1.82418764045378,0.882852357689615,0.833858725572484,0.147367688183896,0.147367688183896,0,0,0,0.144428070256868,0.28886903357482,0.930401966965399,1.61533294396289,3.94693989641715,13.827962728739,5.05820572426126,2.50380667628489,1.60318768042227,2.10688089776963,2.00360747849115,0.833549292106481,0.52202715020803,0.119724965220968,0.332602296769901,0.980078931319953,2.05163413102702,1.32886201974959,1.7532629114337,1.31297776849477,1.82418764045378,0.882852357689615,0.833858725572484,0.147367688183896,0.147367688183896,0,0,0
