"year","month","fleet","sex","partition","InputN","M.999","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M.999.1","M12.1","M14.1","M16.1","M18.1","M20.1","M22.1","M24.1","M26.1","M28.1","M30.1","M32.1","M34.1","M36.1","M38.1","M40.1","M42.1","M44.1","M46.1","M48.1","M50.1","M52.1","M54.1","M56.1","M58.1","M60.1","M62.1","M64.1","M66.1"
2003,"7","Enter Fleet",2,0,136,0,0.554808075646657,3.77244434580792,4.80588317150033,0.71908710703798,0,1.20890395482248,0.879987936912199,0.319698673373553,0.880927569122254,0,0,0.635415095952109,2.2684958770281,2.31992955443088,5.04656325044733,6.95981103548812,8.9210024354372,7.07719794515859,4.44750297214617,2.82462391220793,0.182489998510012,0,0,0,0,0,0,0,0,0.554808075646657,3.77244434580792,4.80588317150033,0.71908710703798,0,1.20890395482248,0.879987936912199,0.319698673373553,0.880927569122254,0,0,0.635415095952109,2.2684958770281,2.31992955443088,5.04656325044733,6.95981103548812,8.9210024354372,7.07719794515859,4.44750297214617,2.82462391220793,0.182489998510012,0,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,101,0,0,0.244541632639099,0.147743438766145,0,0.813396771974678,0.0945473322219425,1.40063766242,0.958777920295206,0.526612483301002,1.07796215900421,1.38747792177721,1.89544836774087,3.21772930179497,0.697365968152982,1.87124603355277,2.88437891985606,3.34712041808975,5.07833388546301,5.29683460880303,9.4874041447723,3.21950101962919,1.67079677493868,1.53864222453771,0,0.466485505732399,0,0,0,0,0,0.244541632639099,0.147743438766145,0,0.813396771974678,0.0945473322219425,1.40063766242,0.958777920295206,0.526612483301002,1.07796215900421,1.38747792177721,1.89544836774087,3.21772930179497,0.697365968152982,1.87124603355277,2.88437891985606,3.34712041808975,5.07833388546301,5.29683460880303,9.4874041447723,3.21950101962919,1.67079677493868,1.53864222453771,0,0.466485505732399,0,0,0
2005,"7","Enter Fleet",2,0,144,0,0,0,0.251277369058698,0.125647463698137,0.569083279195126,0.502572296454972,0.291275262058188,0.251294927396274,0.125647463698137,0.328516496058153,0.957614173090092,1.45307534282654,3.45967727775534,3.42935402876056,3.74607132196724,4.79370709181255,6.97708636946254,9.99415307358699,11.9039734517936,4.09794040700227,1.04935648692782,0.656611592014468,0.328305796007234,0,0,0,0,0,0,0,0,0.251277369058698,0.125647463698137,0.569083279195126,0.502572296454972,0.291275262058188,0.251294927396274,0.125647463698137,0.328516496058153,0.957614173090092,1.45307534282654,3.45967727775534,3.42935402876056,3.74607132196724,4.79370709181255,6.97708636946254,9.99415307358699,11.9039734517936,4.09794040700227,1.04935648692782,0.656611592014468,0.328305796007234,0,0,0,0,0
2006,"7","Enter Fleet",2,0,87,0,0,0,0,0,0.0224034382189161,0.0559180789798195,0.015390167549693,0.015390167549693,0,0,0.183400672173679,0.116524210830719,0.101566641941145,1.97853934473058,1.6867374420018,4.10104705333307,5.41669478166111,8.63869665547161,13.2237017044152,10.5759769029933,4.30919754124088,1.69304538876866,0,0.676513772036964,0,0,0,0,0,0,0,0,0,0.0224034382189161,0.0559180789798195,0.015390167549693,0.015390167549693,0,0,0.183400672173679,0.116524210830719,0.101566641941145,1.97853934473058,1.6867374420018,4.10104705333307,5.41669478166111,8.63869665547161,13.2237017044152,10.5759769029933,4.30919754124088,1.69304538876866,0,0.676513772036964,0,0,0,0
2007,"7","Enter Fleet",2,0,131,0,0,0,0,0,0,1.01059008930671,1.27194457574906,3.72684112261229,1.1712762884813,1.53953528637983,1.60744424363564,0.959734983455619,0.999343434382127,1.49565188078852,0.836542741502378,4.27572078570296,7.82518959577163,13.798833504306,7.06265413395011,6.71639812851985,0.867999665971284,0.323563504145097,0.262304476367851,0.174675566948625,0,0.118779385525065,0,0,0,0,0,0,0,0,1.01059008930671,1.27194457574906,3.72684112261229,1.1712762884813,1.53953528637983,1.60744424363564,0.959734983455619,0.999343434382127,1.49565188078852,0.836542741502378,4.27572078570296,7.82518959577163,13.798833504306,7.06265413395011,6.71639812851985,0.867999665971284,0.323563504145097,0.262304476367851,0.174675566948625,0,0.118779385525065,0,0
2008,"7","Enter Fleet",2,0,95,0.129031059237165,1.16132176455252,2.82456393245451,0.129031059237165,2.29420770762795,4.00445344380322,0.387107254850841,0.328940515076898,0.460547690814216,0.789108123128796,2.45280075948982,1.75216745714496,2.72171635239922,5.28786623789577,4.37559722263672,4.598902884068,3.60363505523025,3.96279918848107,3.69326420144049,1.33694815502196,0.999603587756042,1.34823802077673,0.68374073513074,0,0.124202600441797,0,0,0,0,0.129031059237165,1.16132176455252,2.82456393245451,0.129031059237165,2.29420770762795,4.00445344380322,0.387107254850841,0.328940515076898,0.460547690814216,0.789108123128796,2.45280075948982,1.75216745714496,2.72171635239922,5.28786623789577,4.37559722263672,4.598902884068,3.60363505523025,3.96279918848107,3.69326420144049,1.33694815502196,0.999603587756042,1.34823802077673,0.68374073513074,0,0.124202600441797,0,0,0,0
2009,"7","Enter Fleet",2,0,87,0,0,0,0.294831375671302,2.77065993115009,2.05398174882441,0.586383457717703,0.303410922945751,0.90416988876331,1.17936363400643,2.50511341017557,6.60617513868362,7.36727631023033,4.89434573516425,5.65460801764412,4.38822870861417,3.51395377568716,4.44447240741334,3.71864270799492,2.54823993447514,2.98678825982377,0.362705127442502,0,0,0,0,0,0,0,0,0,0,0.294831375671302,2.77065993115009,2.05398174882441,0.586383457717703,0.303410922945751,0.90416988876331,1.17936363400643,2.50511341017557,6.60617513868362,7.36727631023033,4.89434573516425,5.65460801764412,4.38822870861417,3.51395377568716,4.44447240741334,3.71864270799492,2.54823993447514,2.98678825982377,0.362705127442502,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,139,0,0.0977101204669628,0.311344185432385,2.20160250338313,0.34320533033562,0.906933621831956,1.2793906666938,0.372470092013734,0,0,0.208832713071733,0.208336921300102,0.580624353187445,1.73653677444136,1.89545108440098,1.66704764350171,2.59847076942186,3.66062635722997,4.63592705493947,10.0146154195416,8.47546900596881,3.45800408845551,1.26006783475208,0,0,0,0,0,0,0,0.0977101204669628,0.311344185432385,2.20160250338313,0.34320533033562,0.906933621831956,1.2793906666938,0.372470092013734,0,0,0.208832713071733,0.208336921300102,0.580624353187445,1.73653677444136,1.89545108440098,1.66704764350171,2.59847076942186,3.66062635722997,4.63592705493947,10.0146154195416,8.47546900596881,3.45800408845551,1.26006783475208,0,0,0,0,0,0
2011,"7","Enter Fleet",2,0,122,0,0,0,0.2566491246891,0.251122645575022,0.935374257829897,0.252578469996377,5.87002540908313,5.24687601987215,4.09127651632241,3.30798644076229,0.872279110092694,0.545255715559611,0.721848631291829,1.16911181565475,1.32584615554226,1.79353328445721,3.45925083840646,6.2048226233419,8.89650063625181,6.18825732021734,4.4924056141678,1.32402284146114,0.662018487839414,0,0,0,0,0,0,0,0,0.2566491246891,0.251122645575022,0.935374257829897,0.252578469996377,5.87002540908313,5.24687601987215,4.09127651632241,3.30798644076229,0.872279110092694,0.545255715559611,0.721848631291829,1.16911181565475,1.32584615554226,1.79353328445721,3.45925083840646,6.2048226233419,8.89650063625181,6.18825732021734,4.4924056141678,1.32402284146114,0.662018487839414,0,0,0,0,0
2012,"7","Enter Fleet",2,0,152,0,0.200157904728195,0.276672585564022,1.27306892178858,1.86696178409127,0.998494708262889,0.374965689384863,0.409030750347481,0.256769303549428,0.577070169025207,1.8116451254639,2.68036222008833,2.66826309620777,2.33544343244376,2.38283985278179,3.95469016509991,4.14162386136529,4.16885805164995,8.49669234062061,7.21964990582328,6.81672675749373,3.88792621731027,1.10737789394524,0,0,0,0,0,0,0,0.200157904728195,0.276672585564022,1.27306892178858,1.86696178409127,0.998494708262889,0.374965689384863,0.409030750347481,0.256769303549428,0.577070169025207,1.8116451254639,2.68036222008833,2.66826309620777,2.33544343244376,2.38283985278179,3.95469016509991,4.14162386136529,4.16885805164995,8.49669234062061,7.21964990582328,6.81672675749373,3.88792621731027,1.10737789394524,0,0,0,0,0,0
2013,"7","Enter Fleet",2,0,103,0,0.144428070256868,0.736245360109643,2.18897101768799,2.14536668510374,3.52255189779413,13.4059470533554,8.02924404114949,1.80107038193115,2.4383357121031,2.48230105039769,2.75012860828431,2.6524894566993,1.42098294119088,0.766685877327681,0.540580265107122,1.74528210662304,2.18248580796301,0.591675466180856,1.75336605592236,1.22387382334701,0.378011657905832,0,0,0,0,0,0,0,0,0.144428070256868,0.736245360109643,2.18897101768799,2.14536668510374,3.52255189779413,13.4059470533554,8.02924404114949,1.80107038193115,2.4383357121031,2.48230105039769,2.75012860828431,2.6524894566993,1.42098294119088,0.766685877327681,0.540580265107122,1.74528210662304,2.18248580796301,0.591675466180856,1.75336605592236,1.22387382334701,0.378011657905832,0,0,0,0,0,0,0
2014,"7","Enter Fleet",2,0,204,0,0.049615047113666,0.393274097460812,1.53190012249603,1.28520199858486,1.20516226194437,1.03796864099318,1.00061379037383,1.40202232470832,1.80546586209894,1.21387653530527,0.846840038891417,1.11921822876568,1.22380065979817,1.87119924848731,2.95736122213028,4.41527643899666,6.55218575775513,7.89660913294876,9.35040974089616,5.83279266368575,2.34827644440475,0.209956561884081,0.0513099537686333,0,0,0,0,0,0,0.049615047113666,0.393274097460812,1.53190012249603,1.28520199858486,1.20516226194437,1.03796864099318,1.00061379037383,1.40202232470832,1.80546586209894,1.21387653530527,0.846840038891417,1.11921822876568,1.22380065979817,1.87119924848731,2.95736122213028,4.41527643899666,6.55218575775513,7.89660913294876,9.35040974089616,5.83279266368575,2.34827644440475,0.209956561884081,0.0513099537686333,0,0,0,0,0
2015,"7","Enter Fleet",2,0,210,0,0,0.128487746633695,0.172144514097367,0.456208931511338,0.296486726165094,0.7304288955767,0.430377962681326,0.506174535486896,1.00171839555233,0.980023431323764,0.384515008431398,0.335659645322357,0.560266614099382,1.24674807829457,2.27465005136413,2.94695092835435,4.54986713561716,8.75993862131052,14.7937212972359,12.828842742577,7.59300876084873,0.0413838709257794,0,0,0,0,0,0,0,0,0.128487746633695,0.172144514097367,0.456208931511338,0.296486726165094,0.7304288955767,0.430377962681326,0.506174535486896,1.00171839555233,0.980023431323764,0.384515008431398,0.335659645322357,0.560266614099382,1.24674807829457,2.27465005136413,2.94695092835435,4.54986713561716,8.75993862131052,14.7937212972359,12.828842742577,7.59300876084873,0.0413838709257794,0,0,0,0,0,0
