"year","month","fleet","sex","partition","InputN","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M12.1","M14.1","M16.1","M18.1","M20.1","M22.1","M24.1","M26.1","M28.1","M30.1","M32.1","M34.1","M36.1","M38.1","M40.1","M42.1","M44.1","M46.1","M48.1","M50.1","M52.1","M54.1","M56.1","M58.1","M60.1","M62.1","M64.1","M66.1"
1980,"7","Enter Fleet",2,0,16,0,0,0,0,0,0,0,0,0.558539154973007,0,0,0,1.31108365005688,0.387835479733976,1.35108776142833,4.85357911236425,4.77707489937652,7.86545069741474,15.4766854870924,18.0833767441209,7.92344205886269,2.0287048479143,0.63218175999402,0.386083474856394,0,0,0,0,0,0,0,0,0,0,0,0,0.558539154973007,0,0,0,1.31108365005688,0.387835479733976,1.35108776142833,4.85357911236425,4.77707489937652,7.86545069741474,15.4766854870924,18.0833767441209,7.92344205886269,2.0287048479143,0.63218175999402,0.386083474856394,0,0,0,0
1983,"7","Enter Fleet",2,0,46,0,0,0,0.499376936509576,0.798984575531919,0.307248328425541,0.099884648743616,1.35393016224657,1.98463434207413,2.87438104627433,1.83158901796766,1.07090050386874,1.22149154592448,1.3444834917117,1.96259211082612,2.1464780357964,4.66702570188994,6.20650884861294,10.2458866464366,9.52154929101348,4.9470916989235,1.20241297602074,0.101181250581734,0.199769297487232,0,0,0,0,0,0,0,0.499376936509576,0.798984575531919,0.307248328425541,0.099884648743616,1.35393016224657,1.98463434207413,2.87438104627433,1.83158901796766,1.07090050386874,1.22149154592448,1.3444834917117,1.96259211082612,2.1464780357964,4.66702570188994,6.20650884861294,10.2458866464366,9.52154929101348,4.9470916989235,1.20241297602074,0.101181250581734,0.199769297487232,0,0,0,0
1986,"7","Enter Fleet",2,0,30,0,0,0,0,0,0,0,0.166991551907079,0,0,0.121569526787286,0,0.428218665262689,0.655853667596371,2.67404508771901,3.59233712267419,6.46123260437376,9.22600061693204,8.9282340078134,12.0387746631503,8.92330824153374,3.58571560079006,0.188511498030501,0.294657723843777,0,0,0,0,0,0,0,0,0,0,0,0.166991551907079,0,0,0.121569526787286,0,0.428218665262689,0.655853667596371,2.67404508771901,3.59233712267419,6.46123260437376,9.22600061693204,8.9282340078134,12.0387746631503,8.92330824153374,3.58571560079006,0.188511498030501,0.294657723843777,0,0,0,0
1989,"7","Enter Fleet",2,0,68,0.977394674582129,0,2.93210718454241,2.44340984725135,0.244348668645532,0.733046005936597,0.244348668645532,0.488697337291065,0.475711511819022,1.171413664623,1.77729078797835,3.07425971189909,5.14361631419243,3.9365492589243,8.96321630466437,4.75965081192145,6.1894747195177,3.16954032483005,2.23502192606685,3.27542474790978,2.17109170835834,0.20685113710496,0,0,0,0,0,0,0.977394674582129,0,2.93210718454241,2.44340984725135,0.244348668645532,0.733046005936597,0.244348668645532,0.488697337291065,0.475711511819022,1.171413664623,1.77729078797835,3.07425971189909,5.14361631419243,3.9365492589243,8.96321630466437,4.75965081192145,6.1894747195177,3.16954032483005,2.23502192606685,3.27542474790978,2.17109170835834,0.20685113710496,0,0,0,0,0,0
1992,"7","Enter Fleet",2,0,38,0,0,0,0,0,0,1.32989993154927,0,0,1.32989993154927,2.66026551433507,1.36575507676261,8.03760599386272,2.73151015352521,3.19669573882553,2.61044083202563,2.48657760310682,1.93198698039143,0,6.37942194055496,9.03456529128813,1.32989993154927,0,0,0,0,0,0,0,0,0,0,0,0,1.32989993154927,0,0,1.32989993154927,2.66026551433507,1.36575507676261,8.03760599386272,2.73151015352521,3.19669573882553,2.61044083202563,2.48657760310682,1.93198698039143,0,6.37942194055496,9.03456529128813,1.32989993154927,0,0,0,0,0,0
1995,"7","Enter Fleet",2,0,54,0,0,0,0,0,1.00967585794928,1.68271215415324,2.00113966939874,3.63658144508137,7.06732629350048,7.65148780278539,2.3557484503572,1.99094092335885,0.948969036283253,0.254402053995075,1.85261031238921,3.23300249464566,5.69899453314835,7.73939128055779,10.7230101517994,3.77879729263764,0.576957633113871,0,0,0,0,0,0,0,0,0,0,0,1.00967585794928,1.68271215415324,2.00113966939874,3.63658144508137,7.06732629350048,7.65148780278539,2.3557484503572,1.99094092335885,0.948969036283253,0.254402053995075,1.85261031238921,3.23300249464566,5.69899453314835,7.73939128055779,10.7230101517994,3.77879729263764,0.576957633113871,0,0,0,0,0,0
1998,"7","Enter Fleet",2,0,62,0,1.83718925490939,3.67437850981877,1.83718925490939,0,0,0,0,0,0,0,3.11679381325148,5.06211164649429,9.97473677916357,3.61009930887402,5.97049136217094,7.59092517203406,6.38706044736331,1.52326757587686,1.83868412004764,0,0,0,0,0,0,0,0,0,1.83718925490939,3.67437850981877,1.83718925490939,0,0,0,0,0,0,0,3.11679381325148,5.06211164649429,9.97473677916357,3.61009930887402,5.97049136217094,7.59092517203406,6.38706044736331,1.52326757587686,1.83868412004764,0,0,0,0,0,0,0,0
2001,"7","Enter Fleet",2,0,87,0,0,0,0,0,0,0,1.13469476610317,0.540051744492728,0.540051744492728,1.08010348898546,3.40994532499393,2.28714007016486,2.2457779675634,3.7760083059121,9.01509633016001,5.87576298008088,7.1092579102928,5.60196930496596,5.16122009829779,1.728333040282,0.565170430283088,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13469476610317,0.540051744492728,0.540051744492728,1.08010348898546,3.40994532499393,2.28714007016486,2.2457779675634,3.7760083059121,9.01509633016001,5.87576298008088,7.1092579102928,5.60196930496596,5.16122009829779,1.728333040282,0.565170430283088,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,76,0,0,0.858506375058814,0,0,0,0,0,1.85353009755544,0,0,1.71701275011763,0,0,0,3.20850533205701,17.1154278509295,7.93492595846072,11.7175458399294,11.4308362324921,3.59511133464829,7.17144863679664,0.898835778206825,0,0,0,0,0,0,0,0.858506375058814,0,0,0,0,0,1.85353009755544,0,0,1.71701275011763,0,0,0,3.20850533205701,17.1154278509295,7.93492595846072,11.7175458399294,11.4308362324921,3.59511133464829,7.17144863679664,0.898835778206825,0,0,0,0,0
