"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
1980,"7","Enter Fleet",3,0,"1","Enter","Enter",29,0,0,0,0,0.468426718987215,1.04172594077976,0.39826513680655,2.80088677866724,0.417953626210045,2.71143502912303,6.1642042777511,7.38398017039079,5.15343364979071,4.26210273066829,4.21111750955404,2.64906917829577,2.07053486683525,3.26982562599154,0.268810473821137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200071470354598,0.199616245166078,0.400142940709195,3.92170809595237,2.06581190550436,7.39610054103514,5.61269896185896,8.79899076575705,10.414584959815,5.91206642645951,4.44470493441343,2.86279740430597,0.730465718129116,2.06040610639068,1.08730536278033,0.620756447695764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,"7","Enter Fleet",3,0,"1","Enter","Enter",17,0.124581839352382,0.871957361475622,0.898814364395816,8.04641583188556,3.19471269360145,1.41244732562008,3.43781188777585,1.57000840941855,3.47512290688648,3.73387424684878,3.2242265183159,0.376171311869294,1.33216510183713,2.38582597124164,2.28527104202861,0.491858573910472,0.618057609137619,0.859943906405944,0.451255406054781,0.618057609137619,0.575028647469782,0.577396684286401,0.491858573910472,0,0.577396684286401,0,0.632554615014971,0.249972276642147,0.264469282519499,0.123773241415,0.126199035227147,0.126199035227147,0.126199035227147,0,0.37859710568144,0,1.74391472295124,0.124581839352382,8.1924832735741,2.90044080138986,2.15462471814586,1.42064881898496,2.25125217166303,3.78337199201567,4.15521152922042,2.35665868850035,0.837938491110043,2.13285033083207,3.61986193767789,3.33159677300115,0.794909529442206,1.24853297231361,1.31928529183455,0.668710494215059,0.615631815325472,1.62799643292796,0.37859710568144,0.827426717924075,0.368085332495472,0.489432780098326,0.371377481240528,0.209369108786456,0.748184120060622,0.912964828300004,0.725601134809448,0.241886297268325,0.60754583595165,0.459341385428603,0.523220622481795,4.19824049088826
1986,"7","Enter Fleet",3,0,"1","Enter","Enter",7,0,0,0,0,0,0,2.42235117679958,9.68976093531254,6.65434117391413,0,1.80928259220074,1.80928259220074,6.04127258931529,0,6.65434117391413,0,1.80928259220074,1.80928259220074,0,0,0,0,1.80928259220074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47335948047692,0,0,0,0,9.68976093531254,3.61856518440148,0,18.7365301244305,1.80928259220074,7.85055518151604,4.23163376900032,0,0,0,0,0,0,0,1.80928259220074,0,0,1.80928259220074,0,0,0,0,0,1.80928259220074,0,0,0,6.65398494579989
1989,"7","Enter Fleet",3,0,"1","Enter","Enter",7,0,0,0,0,0,0,0,0,0,9.5710339778362,14.3565509667543,25.5083363839063,0,0,13.3182468634564,4.7855169889181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5710339778362,4.26636493726913,13.8373989151053,4.7855169889181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,"7","Enter Fleet",3,0,"1","Enter","Enter",43,0,0,0,1.58916827463886,14.302849757002,1.92713580896787,3.85418779662267,0.298320053243298,0.337883713015941,1.91598757432855,6.41702444397132,0.957993787164275,3.42854316881445,2.68244966111043,0.766462086781882,0.949444013230356,2.29947008165872,0.957993787164275,0.766462086781882,2.68244966111043,1.91598757432855,1.91598757432855,0.957993787164275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17842037059079,7.00477949127169,6.69472445419752,1.58916827463886,2.88512959613215,1.15002841542513,0.337883713015941,7.15347850067141,0.766462086781882,0,1.13737139715041,2.49100178204112,1.91598757432855,0.766462086781882,1.53300799487684,1.72445587394616,1.53300799487684,0,0,0.766462086781882,1.91598757432855,0.766462086781882,0,0,0,0.766462086781882,0,0.957993787164275,0,0,0.957993787164275,1.08347429284149
1998,"7","Enter Fleet",3,0,"1","Enter","Enter",28,0,0,0,0,0,0,0,7.24963603868051,18.3696900114811,3.5532093694888,3.72601702037,0,0,3.56386189591298,3.86805070602578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.13955993229728,7.17151751156983,19.6124847609691,0,3.85266372341307,3.79703386319789,10.9105542864583,0,0,0,3.61830814208103,0,3.56741273805438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"7","Enter Fleet",3,0,"1","Enter","Enter",77,0,0,0,1.62015794656074,3.29021843245742,4.93281577590076,3.3464843828496,1.68161510070935,2.80944598133846,5.56530534325579,8.05959501912372,3.96557729534935,4.36295556999417,2.14748377330181,2.79872865745423,2.26604416877106,1.10505656737513,0.54139231433911,0,0.550769972737807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67474931509602,2.26956079067057,2.2148019639496,2.26654654332813,3.92655953808334,6.07990434788433,4.28927396829012,4.27805426984882,3.72460496613995,2.67531197459994,2.21028059293594,3.39119571842911,1.69752362835,1.69300225733634,1.13452920805675,0.576056158777153,0.569692747720894,0,0.54139231433911,1.14574890649805,0.576056158777153,0.576056158777153,0.576056158777153,0,0.576056158777153,0.576056158777153,0,0.576056158777153,0,0,0,1.14122753548439
2004,"7","Enter Fleet",3,0,"1","Enter","Enter",49,0,0,1.37241606734621,0,0,1.37241606734621,0,1.32128393524745,2.6288585307293,5.832397763525,0.975586259536328,8.52053992567315,2.57587378514871,0,0,0,0,0,0,1.49024228479115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37241606734621,0,2.96307000285302,1.37241606734621,2.58143162559423,2.49917558700058,1.54582068924632,3.37212705964304,6.96508564632127,2.44619084141999,20.1449484788191,9.43128471334512,4.08130750049094,0.962247442467088,7.1003264304955,4.19691058175769,2.87562664651023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
