"year","month","fleet","sex","partition","InputN","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F12.1","F14.1","F16.1","F18.1","F20.1","F22.1","F24.1","F26.1","F28.1","F30.1","F32.1","F34.1","F36.1","F38.1","F40.1","F42.1","F44.1","F46.1","F48.1","F50.1","F52.1","F54.1","F56.1","F58.1","F60.1","F62.1","F64.1","F66.1"
2003,"7","Enter Fleet",1,0,49,0,0,0,0,0,0,0,0,0,0,0.367882879265495,0.371339087581335,2.21065183072305,1.05536337456048,5.48047903047258,7.07063981531649,4.75909719772663,3.72131982430263,4.40483584535298,4.19766665277406,2.59495169948879,1.58858516046464,17.274942388057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367882879265495,0.371339087581335,2.21065183072305,1.05536337456048,5.48047903047258,7.07063981531649,4.75909719772663,3.72131982430263,4.40483584535298,4.19766665277406,2.59495169948879,1.58858516046464,17.274942388057,0,0,0,0,0
2004,"7","Enter Fleet",1,0,38,0,0,0,0,0,0,0,0,0,0.772248918567436,0.144270943820847,0.133516569668238,0,1.06079080620913,2.51560122116564,6.49595558056096,5.87343780263971,1.92641646913421,3.3931802879516,2.31892345578809,6.73843628079431,8.03438448271091,6.31331568607558,5.71763772700861,3.08899567426974,0.772248918567436,0.772248918567436,0,0,0,0,0,0,0,0,0,0,0.772248918567436,0.144270943820847,0.133516569668238,0,1.06079080620913,2.51560122116564,6.49595558056096,5.87343780263971,1.92641646913421,3.3931802879516,2.31892345578809,6.73843628079431,8.03438448271091,6.31331568607558,5.71763772700861,3.08899567426974,0.772248918567436,0.772248918567436,0
2005,"7","Enter Fleet",1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,5.28017931476145,1.76005977158715,4.18568836436272,3.5201195431743,5.63057499656923,7.08613512648095,4.37796380159493,5.30564323071528,6.03083116051416,1.84560023176738,0,0,1.41774545232758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28017931476145,1.76005977158715,4.18568836436272,3.5201195431743,5.63057499656923,7.08613512648095,4.37796380159493,5.30564323071528,6.03083116051416,1.84560023176738,0,0,1.41774545232758,0,0,0
2006,"7","Enter Fleet",1,0,16,0,0,0,0,0,0,0,0,0,0.123350195838478,0.123350195838478,0.123350195838478,0,0.123350195838478,0.370047897334071,2.28827364740035,2.22135269582402,3.44857846108982,8.22850615708534,8.38007097505489,6.51336488826399,3.74131592642515,5.56440610278403,3.2197059013029,2.44561697493679,0,0,0,0,0,0,0,0,0,0,0,0,0.123350195838478,0.123350195838478,0.123350195838478,0,0.123350195838478,0.370047897334071,2.28827364740035,2.22135269582402,3.44857846108982,8.22850615708534,8.38007097505489,6.51336488826399,3.74131592642515,5.56440610278403,3.2197059013029,2.44561697493679,0,0,0
2007,"7","Enter Fleet",1,0,43,0,0,0,0,0,0.520243045284217,1.21909587790743,6.51855205648973,3.30003189589642,1.69858305554009,0.658096964971652,0.877462619962202,0.658096964971652,0.295525244408635,0.544291538618987,1.79043745113455,0.810705448990795,3.6313224935503,4.39313536661838,5.09676173476067,4.8236214788847,2.00159407155819,2.16566627345271,1.08858307723797,1.57436264260033,0,0,0,0,0,0,0,0,0.520243045284217,1.21909587790743,6.51855205648973,3.30003189589642,1.69858305554009,0.658096964971652,0.877462619962202,0.658096964971652,0.295525244408635,0.544291538618987,1.79043745113455,0.810705448990795,3.6313224935503,4.39313536661838,5.09676173476067,4.8236214788847,2.00159407155819,2.16566627345271,1.08858307723797,1.57436264260033,0,0,0
2008,"7","Enter Fleet",1,0,19,0,0,0,0,0,0,0,0,3.45424633910492,2.59067516506008,3.45424633910492,2.8959207634899,3.66371432264667,7.17940869501178,4.00336621685325,2.89415633806545,1.63408808548718,2.27526494190246,1.07572415279771,3.35478644507018,4.58344025367835,5.34475146725399,1.52975684299797,1.57064548435588,0.811405552800239,0,0,0,0,0,0,0,0,0,0,0,3.45424633910492,2.59067516506008,3.45424633910492,2.8959207634899,3.66371432264667,7.17940869501178,4.00336621685325,2.89415633806545,1.63408808548718,2.27526494190246,1.07572415279771,3.35478644507018,4.58344025367835,5.34475146725399,1.52975684299797,1.57064548435588,0.811405552800239,0,0,0
2009,"7","Enter Fleet",1,0,30,0,0,0,0,0,0,0,0.797539924606066,0,1.59507984921213,1.7632678589506,5.85681166451002,3.00312821679615,1.59507984921213,2.83494020705768,2.72909602452859,2.0514326551354,1.9455884726063,2.03740028245162,3.84507057782304,6.00765967086068,3.97336655664618,1.9455884726063,0.965727934344533,0,0,0,0,0,0,0,0,0,0,0,0.797539924606066,0,1.59507984921213,1.7632678589506,5.85681166451002,3.00312821679615,1.59507984921213,2.83494020705768,2.72909602452859,2.0514326551354,1.9455884726063,2.03740028245162,3.84507057782304,6.00765967086068,3.97336655664618,1.9455884726063,0.965727934344533,0,0,0,0
2010,"7","Enter Fleet",1,0,57,0,0,0,0,0,0,0,0,0,0.130111084946209,0,0.130111084946209,0.633085599698189,1.02340255805824,1.538860175399,0.350080952757323,1.25585552845813,1.40695647780949,3.8163093527935,9.36382621761177,12.8569112143402,14.3775030372562,6.11717656990089,1.70994060748383,1.30177900508369,0,0,0,0,0,0,0,0,0,0,0,0,0.130111084946209,0,0.130111084946209,0.633085599698189,1.02340255805824,1.538860175399,0.350080952757323,1.25585552845813,1.40695647780949,3.8163093527935,9.36382621761177,12.8569112143402,14.3775030372562,6.11717656990089,1.70994060748383,1.30177900508369,0,0,0
2011,"7","Enter Fleet",1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791066189560071,0.760586727012833,1.17963971901845,1.8823841384243,1.51628723169357,1.87065720482727,5.5428249654795,8.38172014042739,8.70822544026184,5.50669333223459,3.02314537488682,0.82471509362002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791066189560071,0.760586727012833,1.17963971901845,1.8823841384243,1.51628723169357,1.87065720482727,5.5428249654795,8.38172014042739,8.70822544026184,5.50669333223459,3.02314537488682,0.82471509362002,0,0,0
2012,"7","Enter Fleet",1,0,60,0,0,0.531010745377695,1.54480675441154,0.280752886334018,0.401660816519592,0.401660816519592,0.187755467802409,0.0938777339012045,0.0938777339012045,0.946643746865993,2.21086690636074,1.22704676427107,2.11005951044759,4.8557180038375,4.43197030041665,3.8219004631926,1.34768382818908,2.85498689063695,2.59541800364563,2.63294426779826,5.18743889285219,2.58679542746139,0.965717246540558,0.482852980223038,0,0,0,0,0,0.531010745377695,1.54480675441154,0.280752886334018,0.401660816519592,0.401660816519592,0.187755467802409,0.0938777339012045,0.0938777339012045,0.946643746865993,2.21086690636074,1.22704676427107,2.11005951044759,4.8557180038375,4.43197030041665,3.8219004631926,1.34768382818908,2.85498689063695,2.59541800364563,2.63294426779826,5.18743889285219,2.58679542746139,0.965717246540558,0.482852980223038,0,0,0
