"year","month","fleet","sex","partition","InputN","M12","M14","M16","M18","M20","M22","M24","M26","M28","M30","M32","M34","M36","M38","M40","M42","M44","M46","M48","M50","M52","M54","M56","M58","M60","M62","M64","M66","M12.1","M14.1","M16.1","M18.1","M20.1","M22.1","M24.1","M26.1","M28.1","M30.1","M32.1","M34.1","M36.1","M38.1","M40.1","M42.1","M44.1","M46.1","M48.1","M50.1","M52.1","M54.1","M56.1","M58.1","M60.1","M62.1","M64.1","M66.1"
2003,"7","Enter Fleet",2,0,49,0,0,0,0,0,0,0,0,0,0,0,1.10705401951944,1.81100233090755,2.50636094809893,5.57379665500027,7.89326822107941,8.27268873692867,5.78909810243998,6.40745443141815,5.12692925039924,0.414592518122222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10705401951944,1.81100233090755,2.50636094809893,5.57379665500027,7.89326822107941,8.27268873692867,5.78909810243998,6.40745443141815,5.12692925039924,0.414592518122222,0,0,0,0,0,0,0
2004,"7","Enter Fleet",2,0,38,0,0,0,0,0,0,0,0,0,0,0,0.971103384030769,0.591490578393485,0.135324337536086,1.16748600363398,2.19887291207423,3.61335903561118,5.70267752557161,5.03249370509403,13.9988563101244,5.11098403445827,2.31674675570231,2.31674675570231,0,0.772248918567436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971103384030769,0.591490578393485,0.135324337536086,1.16748600363398,2.19887291207423,3.61335903561118,5.70267752557161,5.03249370509403,13.9988563101244,5.11098403445827,2.31674675570231,2.31674675570231,0,0.772248918567436,0,0,0
2005,"7","Enter Fleet",2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43107207660522,4.55773599865819,9.70724120580028,11.1516704023909,10.549990088895,9.92742021560465,2.8165835658631,1.41774545232758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43107207660522,4.55773599865819,9.70724120580028,11.1516704023909,10.549990088895,9.92742021560465,2.8165835658631,1.41774545232758,0,0,0,0,0,0,0
2006,"7","Enter Fleet",2,0,16,0,0,0,0,0,0,0,0,0,0,0.123350195838478,0,0,1.79487824440916,1.14413682370017,2.96722700005905,4.41449076951696,8.45422313413392,14.8346392594576,11.8979942411288,4.76210524446821,1.91822575006628,0,0.774088926366104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123350195838478,0,0,1.79487824440916,1.14413682370017,2.96722700005905,4.41449076951696,8.45422313413392,14.8346392594576,11.8979942411288,4.76210524446821,1.91822575006628,0,0.774088926366104,0,0,0,0
2007,"7","Enter Fleet",2,0,43,0,0,0,0,0,0.520243045284217,2.30030167297955,7.16099037843288,2.06270979146159,1.99942428268588,0.50198065560894,0,1.23623720999868,0.50198065560894,0.598789402461842,3.6716444034274,7.46830480904773,12.8592899148936,4.74062705451884,7.5543731009827,1.78801452022713,0.763657193609538,0.324925883628437,0,0,0.280336722302464,0,0,0,0,0,0,0,0.520243045284217,2.30030167297955,7.16099037843288,2.06270979146159,1.99942428268588,0.50198065560894,0,1.23623720999868,0.50198065560894,0.598789402461842,3.6716444034274,7.46830480904773,12.8592899148936,4.74062705451884,7.5543731009827,1.78801452022713,0.763657193609538,0.324925883628437,0,0,0.280336722302464,0,0
2008,"7","Enter Fleet",2,0,19,0,0,0,0,0,0,0,0,0.863571174044842,3.02249910915695,1.66385317525616,4.06569646282567,7.948966679593,6.52806721386869,5.23271045280143,4.95350930791947,2.61399626632237,3.10907102617832,1.24319113982266,2.33007720128373,2.86600224542314,1.24319113982266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863571174044842,3.02249910915695,1.66385317525616,4.06569646282567,7.948966679593,6.52806721386869,5.23271045280143,4.95350930791947,2.61399626632237,3.10907102617832,1.24319113982266,2.33007720128373,2.86600224542314,1.24319113982266,0,0,0,0,0,0
2009,"7","Enter Fleet",2,0,30,0,0,0,0,0,0,0.797539924606066,0,0,0.797539924606066,5.85681166451002,6.12623322003863,1.93155609992252,5.0842293170344,6.00635666482575,5.14637268177686,10.7292523852528,5.72039695577698,4.79145388411064,4.06547906019186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797539924606066,0,0,0.797539924606066,5.85681166451002,6.12623322003863,1.93155609992252,5.0842293170344,6.00635666482575,5.14637268177686,10.7292523852528,5.72039695577698,4.79145388411064,4.06547906019186,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,57,0,0,0,0,0,0,0,0,0,0.130111084946209,0.260222169892419,0.362841095481883,1.15351364300445,1.65648815775643,1.62513373297731,2.63028423503107,3.64038886657177,5.40572120473348,11.5255866935993,10.2628051617466,4.03321548263244,1.30177900508369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130111084946209,0.260222169892419,0.362841095481883,1.15351364300445,1.65648815775643,1.62513373297731,2.63028423503107,3.64038886657177,5.40572120473348,11.5255866935993,10.2628051617466,4.03321548263244,1.30177900508369,0,0,0,0,0,0
2011,"7","Enter Fleet",2,0,57,0,0,0,0,0,0,0,0,0,0.174794699426014,0,0.203900737317744,0.533892422816176,1.0300949036437,2.27637213046689,2.79056119187905,5.29798560862257,9.30917796308446,15.4696478433535,10.8196281399921,8.39476767465472,2.47414528086006,1.23708584643633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174794699426014,0,0.203900737317744,0.533892422816176,1.0300949036437,2.27637213046689,2.79056119187905,5.29798560862257,9.30917796308446,15.4696478433535,10.8196281399921,8.39476767465472,2.47414528086006,1.23708584643633,0,0,0,0,0
2012,"7","Enter Fleet",2,0,60,0.120038900910461,0.121156224264178,0.744058350914247,2.35974177867269,1.26204494325972,0.473936965582265,0.401660816519592,0.0938777339012045,0.38339991564773,0.2807641724285,1.42354895529702,1.81319008119329,2.26025485581394,2.2535057713137,4.22458831431006,4.29084897501383,4.2402308412621,8.89932250703434,8.38081675434269,8.20857966645302,4.73159353672456,1.23939375163437,0,0,0,0,0,0,0.120038900910461,0.121156224264178,0.744058350914247,2.35974177867269,1.26204494325972,0.473936965582265,0.401660816519592,0.0938777339012045,0.38339991564773,0.2807641724285,1.42354895529702,1.81319008119329,2.26025485581394,2.2535057713137,4.22458831431006,4.29084897501383,4.2402308412621,8.89932250703434,8.38081675434269,8.20857966645302,4.73159353672456,1.23939375163437,0,0,0,0,0,0
