"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F.999.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1","F16.1","F17.1","F18.1","F19.1","F20.1","F21.1","F22.1","F23.1","F24.1","F25.1","F26.1","F27.1","F28.1","F29.1","F30.1","F31.1","F32.1","F33.1","F34.1","F35.1"
2003,"7","Enter Fleet",1,0,"1","Enter","Enter",46,0,0,0,0,0,0,2.47695190394404,4.95390380788808,5.78816620743454,9.76429060075151,3.29134958445909,2.94354960209182,3.29090318627861,3.67726081148493,1.43249176116358,0.494609183972966,19.0732550574124,1.43249176116358,0.494609183972966,0.494609183972966,0,0.494609183972966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47695190394404,4.95390380788808,5.78816620743454,9.76429060075151,3.29134958445909,2.94354960209182,3.29090318627861,3.67726081148493,1.43249176116358,0.494609183972966,19.0732550574124,1.43249176116358,0.494609183972966,0.494609183972966,0,0.494609183972966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",1,0,"1","Enter","Enter",38,0,0,0,0,0,0,0.288541834415504,0.406138957187453,0.19885442878143,0.729415753513479,8.20739373232239,7.59856345199483,3.76061763669074,0.374964190523203,0.710895359589865,0.120198094428553,0,0,3.58323505903191,7.16647011806382,4.20700709142932,0,0,0,0,0,0,0,0,0,0,0,0,3.58323505903191,0,0,0,0,0,0,0,0,0.288541834415504,0.406138957187453,0.19885442878143,0.729415753513479,8.20739373232239,7.59856345199483,3.76061763669074,0.374964190523203,0.710895359589865,0.120198094428553,0,0,3.58323505903191,7.16647011806382,4.20700709142932,0,0,0,0,0,0,0,0,0,0,0,0,3.58323505903191,0,0
2005,"7","Enter Fleet",1,0,"1","Enter","Enter",40,0,0,0,0,0,0,0,7.0402390863486,9.55140813930439,2.59183019989936,8.22560724578016,2.74796822347255,5.55326837747587,6.72064406934724,1.19299208636384,1.39883811353552,0,0,0,0,1.41774545232758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0402390863486,9.55140813930439,2.59183019989936,8.22560724578016,2.74796822347255,5.55326837747587,6.72064406934724,1.19299208636384,1.39883811353552,0,0,0,0,1.41774545232758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",1,0,"1","Enter","Enter",16,0,0,0,0,0,0,0,0,0.743929243070726,2.70931102362522,2.77434346263653,2.11667487799625,6.12417854646177,3.49161301055536,3.52998306423362,5.45699210092871,3.45324026669595,2.73261875306983,2.70931102362522,2.70931102362522,0,0,0,2.70931102362522,0.038372743859406,0.705559189392465,0,0,2.70931102362522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743929243070726,2.70931102362522,2.77434346263653,2.11667487799625,6.12417854646177,3.49161301055536,3.52998306423362,5.45699210092871,3.45324026669595,2.73261875306983,2.70931102362522,2.70931102362522,0,0,0,2.70931102362522,0.038372743859406,0.705559189392465,0,0,2.70931102362522,0,0,0,0,0,0,0
2007,"7","Enter Fleet",1,0,"1","Enter","Enter",43,0,0,0,1.43282267259888,10.472938886701,1.23663724066004,1.36884994834085,0.67238262415464,0.751833203688214,2.38485542489787,3.33790074716815,0.722685653800157,5.21585641179196,3.03687815998678,1.40164998276823,0.989100045891118,0.266414392090961,2.65712825753705,1.66802821164593,0.700806909777484,0.700806909777484,0.700806909777484,0,0.456271261709196,0,0,0,0.700806909777484,0,0,0.456271261709196,0,0,0,0,0,0,0,0,1.43282267259888,10.472938886701,1.23663724066004,1.36884994834085,0.67238262415464,0.751833203688214,2.38485542489787,3.33790074716815,0.722685653800157,5.21585641179196,3.03687815998678,1.40164998276823,0.989100045891118,0.266414392090961,2.65712825753705,1.66802821164593,0.700806909777484,0.700806909777484,0.700806909777484,0,0.456271261709196,0,0,0,0.700806909777484,0,0,0.456271261709196,0,0,0,0,0
2008,"7","Enter Fleet",1,0,"1","Enter","Enter",19,0,0,0,0,4.36860898239676,5.82928697541346,4.73714431909759,2.28992085772687,6.98084483120368,5.5192079098546,2.90704877531427,1.48518820119237,2.21462580506828,0.368496979567539,1.47759348879991,2.63517341451748,1.13890000180279,1.12777643314716,1.13890000180279,2.50445230424725,0.379620548223163,2.23104265811865,0.368496979567539,0,0,0,0.379620548223163,0,0,0,0,0,0,0.379620548223163,0,0,0,0,0,0,4.36860898239676,5.82928697541346,4.73714431909759,2.28992085772687,6.98084483120368,5.5192079098546,2.90704877531427,1.48518820119237,2.21462580506828,0.368496979567539,1.47759348879991,2.63517341451748,1.13890000180279,1.12777643314716,1.13890000180279,2.50445230424725,0.379620548223163,2.23104265811865,0.368496979567539,0,0,0,0.379620548223163,0,0,0,0,0,0,0.379620548223163,0,0
2009,"7","Enter Fleet",1,0,"1","Enter","Enter",30,0,0,0,0,0,5.27466337373984,3.62084967936061,3.46418841849305,3.67958512329432,6.46981940354457,1.07157104282475,0.979859556136451,2.78752803965945,2.10244824565448,1.01283559889104,0,2.0514305989612,3.00553075391854,1.04801672657147,0,1.99269515502749,0.979859556136451,1.99269515502749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27466337373984,3.62084967936061,3.46418841849305,3.67958512329432,6.46981940354457,1.07157104282475,0.979859556136451,2.78752803965945,2.10244824565448,1.01283559889104,0,2.0514305989612,3.00553075391854,1.04801672657147,0,1.99269515502749,0.979859556136451,1.99269515502749,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",1,0,"1","Enter","Enter",57,0,0,0,0,0,0.156136713899883,0.312257131305256,1.1620704305159,3.33212793595608,0.788212549963015,1.83467564842529,4.84411669658975,3.55263580317029,6.59013941488088,6.8175406992728,6.69745183122894,8.19361669569344,5.08616852954612,3.36071198732654,2.3441040668065,1.72203427837248,0,1.74600642179663,1.61470556552992,1.76024955799833,0.12787859241962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156136713899883,0.312257131305256,1.1620704305159,3.33212793595608,0.788212549963015,1.83467564842529,4.84411669658975,3.55263580317029,6.59013941488088,6.8175406992728,6.69745183122894,8.19361669569344,5.08616852954612,3.36071198732654,2.3441040668065,1.72203427837248,0,1.74600642179663,1.61470556552992,1.76024955799833,0.12787859241962,0,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",1,0,"1","Enter","Enter",57,0,0,0,0,0,0,0.378696236914141,0.144315541811889,0.358755125261876,2.23377427401148,2.05493815878302,1.04483501437345,1.74528306870202,2.66521541154757,3.04536431222446,3.91796622847284,5.81382449920077,1.26310434774341,2.68452263355791,3.17758312670292,2.78523185041895,1.74528306870202,1.29799469011777,1.74528306870202,0,2.47716148444276,0.214439583449987,0,1.05920317959044,0,0,1.05920317959044,0,0,0,0,0,0,0,0,0,0,0.378696236914141,0.144315541811889,0.358755125261876,2.23377427401148,2.05493815878302,1.04483501437345,1.74528306870202,2.66521541154757,3.04536431222446,3.91796622847284,5.81382449920077,1.26310434774341,2.68452263355791,3.17758312670292,2.78523185041895,1.74528306870202,1.29799469011777,1.74528306870202,0,2.47716148444276,0.214439583449987,0,1.05920317959044,0,0,1.05920317959044,0,0,0,0
2012,"7","Enter Fleet",1,0,"1","Enter","Enter",60,0,0,2.04606541011871,1.25545842299914,0.716657704312649,1.2415612326774,1.61857746646669,0.361124069674403,5.63959930556878,4.19518192413982,3.91411604007395,2.71031278596738,1.24699387317625,0.226063216774641,0.619625334904817,0.179130612963024,1.42042134071932,1.41026613513952,1.80769421943382,0.113183767405442,0.648546819386231,0.870732798958376,0.648546819386231,1.80769421943382,1.78294301915276,0.753074429316332,0,0,0,0.648546819386231,0,0,0,0,0,0,0,0,2.04606541011871,1.25545842299914,0.716657704312649,1.2415612326774,1.61857746646669,0.361124069674403,5.63959930556878,4.19518192413982,3.91411604007395,2.71031278596738,1.24699387317625,0.226063216774641,0.619625334904817,0.179130612963024,1.42042134071932,1.41026613513952,1.80769421943382,0.113183767405442,0.648546819386231,0.870732798958376,0.648546819386231,1.80769421943382,1.78294301915276,0.753074429316332,0,0,0,0.648546819386231,0,0,0,0,0,0
