"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1838.43,1719.09,1590.19,1470.96,1360.66,1258.64,1164.27,1076.97,996.218,921.521,852.425,788.51,729.387,674.697,624.108,577.312,534.025,493.984,456.944,422.683,390.99,361.673,334.555,309.47,286.265,264.801,244.946,226.58,209.591,193.876,179.339,165.892,153.453,141.947,131.304,121.459,112.352,103.928,96.1351,88.9268,1097.07
1893,1837.19,1700.58,1590.19,1470.96,1360.66,1258.63,1164.2,1076.86,996.114,921.425,852.336,788.427,729.311,674.627,624.043,577.252,533.969,493.932,456.897,422.638,390.949,361.635,334.52,309.437,286.236,264.773,244.921,226.556,209.569,193.856,179.32,165.875,153.437,141.932,131.29,121.446,112.34,103.917,96.125,88.9175,1096.96
1894,1835.88,1699.44,1573.07,1470.96,1360.66,1258.63,1164.19,1076.8,996.014,921.328,852.247,788.345,729.234,674.556,623.978,577.192,533.913,493.88,456.849,422.594,390.908,361.598,334.485,309.405,286.206,264.746,244.895,226.533,209.547,193.835,179.301,165.857,153.421,141.918,131.277,121.433,112.328,103.906,96.115,88.9082,1096.84
1895,1834.49,1698.22,1572.01,1455.12,1360.66,1258.63,1164.19,1076.79,995.955,921.237,852.158,788.263,729.158,674.486,623.912,577.131,533.858,493.829,456.801,422.55,390.867,361.56,334.45,309.373,286.176,264.718,244.87,226.509,209.525,193.815,179.283,165.84,153.405,141.903,131.263,121.421,112.317,103.895,96.105,88.899,1096.73
1896,1833.03,1696.94,1570.89,1454.14,1346.02,1258.64,1164.24,1076.87,996.027,921.253,852.139,788.242,729.139,674.468,623.896,577.116,533.843,493.816,456.789,422.539,390.857,361.55,334.441,309.364,286.168,264.711,244.863,226.503,209.52,193.81,179.278,165.836,153.401,141.899,131.259,121.418,112.314,103.892,96.1024,88.8966,1096.7
1897,1831.49,1695.59,1569.7,1453.1,1345.11,1245.09,1164.26,1076.94,996.121,921.338,852.171,788.24,729.134,674.463,623.892,577.112,533.84,493.812,456.786,422.536,390.854,361.548,334.439,309.362,286.166,264.709,244.861,226.502,209.518,193.809,179.277,165.834,153.4,141.898,131.259,121.417,112.313,103.892,96.1018,88.896,1096.69
1898,1829.86,1694.16,1568.45,1452,1344.15,1244.25,1151.73,1076.96,996.184,921.425,852.25,788.27,729.133,674.459,623.887,577.108,533.836,493.809,456.783,422.533,390.852,361.545,334.437,309.36,286.164,264.708,244.86,226.5,209.517,193.807,179.276,165.833,153.399,141.897,131.258,121.416,112.312,103.891,96.1011,88.8954,1096.69
1899,1828.13,1692.65,1567.14,1450.85,1343.13,1243.36,1150.95,1065.37,996.202,921.487,852.333,788.345,729.162,674.459,623.885,577.106,533.834,493.807,456.781,422.532,390.85,361.544,334.435,309.359,286.163,264.707,244.859,226.499,209.516,193.807,179.275,165.833,153.399,141.897,131.257,121.415,112.312,103.891,96.1007,88.8951,1096.68
1900,1826.29,1691.05,1565.74,1449.63,1342.06,1242.42,1150.13,1064.65,985.479,921.501,852.388,788.42,729.23,674.485,623.884,577.102,533.831,493.804,456.778,422.529,390.848,361.542,334.433,309.357,286.161,264.705,244.857,226.498,209.515,193.805,179.274,165.832,153.398,141.896,131.256,121.415,112.311,103.89,96.1001,88.8945,1096.67
1901,1824.34,1689.36,1564.26,1448.34,1340.94,1241.44,1149.26,1063.89,984.812,911.58,852.399,788.468,729.297,674.546,623.906,577.1,533.826,493.8,456.774,422.525,390.844,361.538,334.43,309.354,286.159,264.703,244.855,226.496,209.513,193.804,179.272,165.83,153.396,141.895,131.255,121.414,112.31,103.889,96.0993,88.8937,1096.67
