"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,19.479,18.265,80.1005,203.937,369.342,554.807,741.074,913.808,1063.85,1186.43,1280.13,1345.79,1385.71,1402.97,1400.94,1382.99,1352.31,1311.76,1263.87,1210.77,1154.28,1095.86,1036.7,977.759,919.755,863.246,808.637,756.213,706.165,658.604,613.58,571.098,531.125,493.601,458.447,425.571,394.871,366.238,339.564,314.737,3894.62
1893,19.4658,18.0683,80.1005,203.937,369.342,554.804,741.03,913.717,1063.74,1186.31,1279.99,1345.65,1385.57,1402.82,1400.79,1382.85,1352.17,1311.63,1263.74,1210.65,1154.16,1095.74,1036.59,977.657,919.659,863.156,808.552,756.134,706.091,658.535,613.516,571.038,531.069,493.549,458.4,425.527,394.83,366.2,339.528,314.704,3894.21
1894,19.4519,18.0562,79.2382,203.937,369.342,554.804,741.026,913.663,1063.63,1186.19,1279.86,1345.51,1385.43,1402.68,1400.64,1382.7,1352.03,1311.49,1263.6,1210.52,1154.04,1095.63,1036.49,977.554,919.563,863.066,808.468,756.055,706.018,658.466,613.452,570.979,531.014,493.498,458.352,425.483,394.788,366.162,339.493,314.671,3893.8
1895,19.4372,18.0433,79.1848,201.742,369.342,554.804,741.026,913.658,1063.57,1186.07,1279.73,1345.37,1385.28,1402.53,1400.5,1382.56,1351.89,1311.35,1263.47,1210.39,1153.91,1095.51,1036.38,977.452,919.468,862.976,808.383,755.976,705.944,658.397,613.388,570.919,530.958,493.446,458.304,425.438,394.747,366.124,339.457,314.638,3893.4
1896,19.4218,18.0296,79.1283,201.606,365.366,554.806,741.059,913.726,1063.64,1186.09,1279.7,1345.33,1385.24,1402.49,1400.46,1382.52,1351.85,1311.32,1263.44,1210.36,1153.88,1095.48,1036.35,977.426,919.443,862.953,808.362,755.956,705.925,658.38,613.371,570.904,530.944,493.433,458.292,425.427,394.737,366.114,339.448,314.63,3893.29
1897,19.4055,18.0153,79.0684,201.462,365.12,548.834,741.07,913.784,1063.75,1186.2,1279.75,1345.33,1385.23,1402.48,1400.45,1382.51,1351.84,1311.31,1263.43,1210.35,1153.88,1095.48,1036.34,977.42,919.437,862.947,808.356,755.951,705.92,658.375,613.367,570.9,530.941,493.43,458.289,425.424,394.734,366.111,339.446,314.628,3893.27
1898,19.3882,18.0002,79.0056,201.309,364.859,548.464,733.093,913.798,1063.81,1186.31,1279.87,1345.38,1385.23,1402.48,1400.44,1382.5,1351.83,1311.3,1263.42,1210.35,1153.87,1095.47,1036.34,977.413,919.431,862.941,808.351,755.946,705.916,658.371,613.363,570.896,530.937,493.427,458.286,425.421,394.731,366.109,339.444,314.626,3893.24
1899,19.3698,17.9841,78.9392,201.15,364.583,548.073,732.601,903.964,1063.83,1186.39,1279.99,1345.51,1385.29,1402.48,1400.44,1382.5,1351.83,1311.3,1263.42,1210.34,1153.86,1095.46,1036.33,977.41,919.427,862.938,808.348,755.943,705.913,658.369,613.361,570.894,530.935,493.425,458.284,425.42,394.73,366.108,339.442,314.624,3893.23
1900,19.3504,17.9671,78.8689,200.98,364.293,547.658,732.077,903.355,1052.38,1186.41,1280.07,1345.64,1385.42,1402.53,1400.44,1382.49,1351.82,1311.29,1263.41,1210.33,1153.86,1095.46,1036.33,977.403,919.421,862.933,808.343,755.939,705.908,658.364,613.357,570.89,530.932,493.422,458.281,425.417,394.727,366.105,339.44,314.622,3893.2
1901,19.3297,17.9491,78.7943,200.801,363.987,547.223,731.522,902.707,1051.67,1173.63,1280.09,1345.72,1385.54,1402.66,1400.48,1382.48,1351.81,1311.28,1263.4,1210.32,1153.85,1095.45,1036.32,977.395,919.413,862.925,808.336,755.932,705.902,658.359,613.352,570.885,530.927,493.417,458.277,425.413,394.724,366.102,339.437,314.62,3893.17
1902,19.3077,17.9299,78.7151,200.611,363.663,546.763,730.94,902.02,1050.91,1172.84,1266.3,1345.73,1385.63,1402.78,1400.61,1382.53,1351.8,1311.26,1263.38,1210.31,1153.83,1095.44,1036.3,977.383,919.403,862.915,808.326,755.923,705.894,658.351,613.345,570.879,530.921,493.412,458.272,425.408,394.719,366.098,339.433,314.616,3893.12
1903,19.2843,17.9095,78.631,200.41,363.319,546.276,730.324,901.3,1050.11,1171.99,1265.44,1331.24,1385.64,1402.86,1400.73,1382.65,1351.84,1311.25,1263.37,1210.29,1153.82,1095.42,1036.29,977.37,919.39,862.903,808.315,755.912,705.884,658.342,613.336,570.871,530.913,493.405,458.265,425.402,394.714,366.093,339.429,314.612,3893.07
1904,19.2593,17.8878,78.5416,200.196,362.954,545.759,729.672,900.539,1049.27,1171.09,1264.52,1330.33,1370.71,1402.87,1400.8,1382.76,1351.95,1311.28,1263.35,1210.27,1153.8,1095.4,1036.27,977.353,919.374,862.888,808.302,755.9,705.872,658.331,613.326,570.861,530.905,493.396,458.258,425.395,394.707,366.086,339.423,314.606,3893
1905,19.2329,17.8646,78.4462,199.968,362.566,545.211,728.981,899.732,1048.38,1170.15,1263.55,1329.36,1369.77,1387.75,1400.81,1382.83,1352.06,1311.39,1263.38,1210.25,1153.78,1095.38,1036.25,977.334,919.357,862.872,808.286,755.885,705.859,658.318,613.314,570.85,530.894,493.387,458.249,425.387,394.7,366.079,339.416,314.6,3892.93
1906,19.2048,17.8401,78.3448,199.725,362.154,544.628,728.247,898.878,1047.44,1169.16,1262.53,1328.33,1368.77,1386.79,1385.71,1382.83,1352.13,1311.49,1263.48,1210.28,1153.76,1095.36,1036.23,977.313,919.336,862.853,808.268,755.869,705.843,658.303,613.3,570.838,530.883,493.376,458.239,425.378,394.691,366.071,339.409,314.593,3892.84
1907,19.1752,17.8141,78.2371,199.467,361.714,544.008,727.468,897.971,1046.44,1168.1,1261.46,1327.26,1367.71,1385.78,1384.75,1367.92,1352.12,1311.55,1263.58,1210.37,1153.78,1095.33,1036.2,977.289,919.314,862.832,808.248,755.85,705.826,658.287,613.285,570.824,530.87,493.364,458.227,425.367,394.681,366.062,339.401,314.586,3892.75
1908,19.1439,17.7866,78.123,199.193,361.246,543.348,726.639,897.008,1045.38,1166.99,1260.32,1326.12,1366.6,1384.7,1383.73,1366.97,1337.54,1311.55,1263.63,1210.46,1153.86,1095.35,1036.18,977.263,919.289,862.808,808.227,755.83,705.807,658.27,613.269,570.808,530.855,493.351,458.215,425.356,394.671,366.053,339.391,314.577,3892.64
1909,19.1109,17.7576,78.0025,198.902,360.75,542.646,725.756,895.984,1044.26,1165.8,1259.11,1324.92,1365.42,1383.57,1382.65,1365.96,1336.61,1297.4,1263.62,1210.51,1153.94,1095.43,1036.2,977.238,919.262,862.783,808.202,755.807,705.786,658.25,613.251,570.791,530.84,493.336,458.201,425.343,394.659,366.042,339.381,314.568,3892.53
1910,19.0762,17.727,77.8753,198.595,360.224,541.899,724.816,894.893,1043.06,1164.55,1257.83,1323.65,1364.18,1382.38,1381.52,1364.9,1335.62,1296.49,1249.99,1210.5,1153.99,1095.51,1036.27,977.25,919.236,862.755,808.176,755.783,705.763,658.229,613.231,570.773,530.822,493.32,458.187,425.329,394.646,366.03,339.37,314.558,3892.4
1911,19.0394,17.6947,77.7411,198.272,359.668,541.109,723.819,893.732,1041.79,1163.21,1256.47,1322.3,1362.87,1381.12,1380.33,1363.78,1334.57,1295.53,1249.11,1197.43,1153.97,1095.54,1036.33,977.313,919.245,862.729,808.148,755.756,705.738,658.206,613.209,570.753,530.804,493.303,458.171,425.314,394.632,366.017,339.359,314.547,3892.26
1912,19.0005,17.6606,77.5997,197.93,359.081,540.274,722.762,892.499,1040.44,1161.79,1255.03,1320.87,1361.48,1379.79,1379.07,1362.6,1333.47,1294.51,1248.18,1196.59,1141.52,1095.53,1036.37,977.375,919.302,862.735,808.122,755.728,705.712,658.181,613.186,570.731,530.784,493.284,458.153,425.298,394.617,366.003,339.346,314.535,3892.12
