"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 5+ Biomass (mt)","Spawning Output (millions of eggs)","Fraction Unfished"
2023,"698.60","863.16","27,248.50","2,808.87","0.35"
2024,"665.35","860.19","26,634.20","2,782.56","0.35"
2025,"646.93","533.39","26,139.20","2,739.40","0.34"
2026,"656.02","533.26","26,329.10","2,713.76","0.34"
2027,"677.00","542.25","26,560.30","2,678.11","0.33"
2028,"707.29","557.64","26,985.40","2,637.77","0.33"
2029,"743.20","576.93","27,510.60","2,601.05","0.32"
2030,"781.39","598.45","28,108.40","2,577.72","0.32"
2031,"819.19","621.13","28,755.20","2,575.43","0.32"
2032,"854.49","644.73","29,428.40","2,596.64","0.32"
2033,"885.95","666.53","30,108.20","2,638.56","0.33"
2034,"913.01","686.28","30,781.20","2,695.91","0.34"
