"","Estimate","Interval"
"Unfished Spawning Output (millions of eggs)","8,009","8,009–8,009"
"Unfished Age 5+ Biomass (mt)","75,273","75,273–75,273"
"Unfished Recruitment (R0)","3,717","3,717–3,717"
"Spawning Output (millions of eggs) (2023)","2,809","2,809–2,809"
"Fraction Unfished (2023)","0.35","0.35–0.35"
"Reference Points Based SO40%","",""
"Proxy Spawning Output (millions of eggs) SO40%","3,203","3,203–3,203"
"SPR Resulting in SO40%","0.458","0.458–0.458"
"Exploitation Rate Resulting in SO40%","0.032","0.032–0.032"
"Yield with SPR Based On SO40% (mt)","1,152","1,152–1,152"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Output (millions of eggs) (SPR50)","3,573","3,573–3,573"
"SPR50","0.500"," - "
"Exploitation Rate Corresponding to SPR50","0.028","0.028–0.028"
"Yield with SPR50 at SO SPR (mt)","1,094","1,094–1,094"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Output (millions of eggs) at MSY (SO MSY)","2,063","2,063–2,063"
"SPR MSY","0.330","0.330–0.330"
"Exploitation Rate Corresponding to SPR MSY","0.050","0.050–0.050"
"MSY (mt)","1,246","1,246–1,246"
