"Year","Total Biomass (mt)","Spawning Output (millions of eggs)","Total Biomass 5+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,"76,700","8,009","75,273","100.0","3,677",5.79,"0.002",7.69203177247528e-05
1893,"76,694","8,008","75,267","100.0","3,674",5.79,"0.002",7.6926245135644e-05
1894,"76,687","8,007","75,261","100.0","3,672",5.79,"0.002",7.69320712398952e-05
1895,"76,676","8,006","75,256","100.0","3,669",1.49,"0.001",1.9799191023658e-05
1896,"76,667","8,006","75,255","100.0","3,666",0.36,"0.000",4.78376708369599e-06
1897,"76,653","8,006","75,242","100.0","3,663",0.37,"0.000",4.91745323767779e-06
1898,"76,635","8,006","75,225","100.0","3,660",0.21,"0.000",2.79161770257839e-06
1899,"76,613","8,006","75,204","100.0","3,656",0.35,"0.000",4.6540387083048e-06
1900,"76,585","8,005","75,177","100.0","3,653",0.49,"0.000",6.51793362881299e-06
1901,"76,553","8,005","75,146","100.0","3,649",0.64,"0.000",8.51670871791596e-06
1902,"76,517","8,004","75,112","99.9","3,645",0.78,"0.000",1.03845477928842e-05
1903,"76,477","8,002","75,073","99.9","3,640",0.92,"0.000",1.22547060735389e-05
1904,"76,434","7,999","75,031","99.9","3,635",1.07,"0.000",1.42606961885291e-05
1905,"76,388","7,995","74,987","99.8","3,630",1.21,"0.000",1.61361948185478e-05
1906,"76,338","7,991","74,939","99.8","3,625",1.35,"0.001",1.80146278778368e-05
1907,"76,286","7,986","74,889","99.7","3,620",1.49,"0.001",1.98961394812849e-05
1908,"76,232","7,981","74,836","99.7","3,614",1.64,"0.001",2.19144987125232e-05
1909,"76,175","7,976","74,781","99.6","3,607",1.78,"0.001",2.38028057891633e-05
1910,"76,115","7,970","74,724","99.5","3,601",1.92,"0.001",2.56947278968464e-05
1911,"76,053","7,964","74,664","99.4","3,594",2.07,"0.001",2.77243900969014e-05
1912,"75,988","7,958","74,601","99.4","3,587",2.21,"0.001",2.96243074815451e-05
1913,"75,920","7,952","74,536","99.3","3,579",2.35,"0.001",3.15285158655517e-05
1914,"75,849","7,945","74,468","99.2","3,570",2.5,"0.001",3.35716021845713e-05
1915,"75,776","7,939","74,397","99.1","3,562",2.64,"0.001",3.54853972213859e-05
1916,"75,699","7,931","74,323","99.0","3,553",39.63,"0.013",0.000533213854680052
1917,"75,580","7,921","74,208","98.9","3,543",61.62,"0.020",0.000830374288313176
1918,"75,435","7,908","74,066","98.7","3,533",64.22,"0.021",0.000867070363394563
1919,"75,283","7,895","73,917","98.6","3,522",41.71,"0.014",0.000564280795648098
1920,"75,151","7,882","73,789","98.4","3,511",44.01,"0.015",0.000596431978836897
1921,"75,014","7,869","73,655","98.3","3,499",38.49,"0.013",0.000522570028999989
1922,"74,879","7,856","73,525","98.1","3,486",35.76,"0.012",0.000486368489415093
1923,"74,744","7,843","73,394","97.9","3,473",42.32,"0.014",0.000576617820379189
1924,"74,598","7,829","73,253","97.8","3,459",44.18,"0.015",0.000603119347462544
1925,"74,447","7,815","73,106","97.6","3,445",50.73,"0.017",0.00069392578974582
1926,"74,284","7,800","72,948","97.4","3,431",66.55,"0.022",0.000912292438048421
1927,"74,100","7,783","72,770","97.2","3,416",60.24,"0.020",0.000827818209801895
1928,"73,918","7,766","72,593","97.0","3,400",62.82,"0.021",0.00086537269433692
1929,"73,729","7,748","72,409","96.7","3,385",73.85,"0.026",0.00101989520697589
1930,"73,524","7,728","72,210","96.5","3,369",78.69,"0.027",0.00108973977252427
1931,"73,309","7,707","72,001","96.2","3,353",88.29,"0.031",0.00122623807824091
1932,"73,079","7,685","71,777","96.0","3,338",65.43,"0.023",0.000911579695304173
1933,"72,867","7,664","71,571","95.7","3,321",61.84,"0.022",0.000864041939008476
1934,"72,653","7,643","71,364","95.4","3,304",62.11,"0.023",0.000870332873247528
1935,"72,435","7,622","71,151","95.2","3,286",73.8,"0.027",0.00103723213620629
1936,"72,198","7,600","70,921","94.9","3,265",67.37,"0.026",0.00094993154345193
1937,"71,963","7,577","70,692","94.6","3,241",75.48,"0.029",0.0010677304362587
1938,"71,713","7,553","70,449","94.3","3,214",74.49,"0.029",0.00105735914298408
1939,"71,457","7,528","70,202","94.0","3,186",81.02,"0.030",0.00115410474974929
1940,"71,189","7,502","69,941","93.7","3,157",175.63,"0.059",0.00251110215122946
1941,"70,817","7,464","69,580","93.2","3,130",218.94,"0.071",0.00314658480429777
1942,"70,398","7,420","69,171","92.6","3,106",382.75,"0.114",0.00553338826965058
1943,"69,812","7,354","68,595","91.8","3,085",1254.46,"0.310",0.0182878418783794
1944,"68,355","7,182","67,150","89.7","3,062",1887.07,"0.422",0.028102517516884
1945,"66,296","6,939","65,100","86.6","3,045",3813.72,"0.647",0.0585823984909394
1946,"62,361","6,470","61,174","80.8","3,022",2377.54,"0.526",0.0388654583022742
1947,"59,988","6,180","58,809","77.2","3,011",1345.83,"0.368",0.0228848403640272
1948,"58,735","6,016","57,564","75.1","3,013",1272.57,"0.363",0.0221071228793096
1949,"57,607","5,870","56,443","73.3","3,023",1235.85,"0.361",0.0218955018416777
1950,"56,563","5,737","55,405","71.6","3,043",1237.31,"0.366",0.0223322612201875
1951,"55,562","5,611","54,405","70.1","3,072",1223.76,"0.373",0.0224936861956526
1952,"54,615","5,496","53,455","68.6","3,113",1158.86,"0.360",0.0216792910632741
1953,"53,777","5,392","52,610","67.3","3,165",956.31,"0.315",0.0181773427105113
1954,"53,188","5,317","52,011","66.4","3,237",1172.83,"0.369",0.0225498697378414
1955,"52,427","5,221","51,235","65.2","3,334",1167.91,"0.373",0.0227953375258126
1956,"51,724","5,130","50,512","64.1","3,475",1541.02,"0.453",0.030507816907961
1957,"50,709","5,000","49,471","62.4","3,685",1567.41,"0.464",0.0316837307081998
1958,"49,750","4,870","48,474","60.8","4,011",1300.01,"0.424",0.0268187622617532
1959,"49,151","4,780","47,824","59.7","4,522",1347.41,"0.434",0.0281746421738267
1960,"48,608","4,688","47,208","58.5","4,411",1456.77,"0.456",0.0308585409252669
1961,"48,098","4,587","46,593","57.3","4,773",1363.86,"0.438",0.0292720931480388
1962,"47,844","4,502","46,217","56.2","4,477",1643.56,"0.497",0.0355620370991438
1963,"47,483","4,395","45,757","54.9","3,832",1114.54,"0.390",0.0243575902476976
1964,"47,827","4,360","46,106","54.4","3,405",1347.75,"0.440",0.0292314265760353
1965,"48,064","4,310","46,336","53.8","3,333",1484.61,"0.471",0.0320398909710098
1966,"48,238","4,262","46,661","53.2","3,689",3344.32,"0.714",0.0716720887071541
1967,"46,584","4,025","45,178","50.3","4,620",1509.3,"0.487",0.0334078533799637
1968,"46,795","4,011","45,446","50.1","6,025",2423.54,"0.632",0.0533280229899727
1969,"46,069","3,926","44,663","49.0","3,753",1229.95,"0.427",0.0275382080181983
1970,"46,616","3,986","45,003","49.8","2,646",1555.2,"0.492",0.0345579265244085
1971,"46,902","4,029","45,052","50.3","2,645",2015.93,"0.567",0.0447472337214077
1972,"46,737","4,029","44,892","50.3","3,888",1923.69,"0.557",0.04285198757003
1973,"46,595","4,039","45,320","50.4","4,875",2781.47,"0.674",0.0613744133345984
1974,"45,489","3,947","44,392","49.3","3,427",2316.58,"0.628",0.0521852156381289
1975,"44,823","3,892","43,554","48.6","3,587",2044.69,"0.594",0.0469456587623753
1976,"44,420","3,861","42,837","48.2","4,614",1762.76,"0.555",0.041150407358125
1977,"44,250","3,867","42,633","48.3","2,858",1855.26,"0.571",0.043517095951718
1978,"44,005","3,868","42,624","48.3","4,078",4346.23,"0.813",0.101966732357357
1979,"41,251","3,599","39,790","44.9","3,781",2920.97,"0.733",0.0734096506659965
1980,"39,931","3,463","38,429","43.2","1,900",4574.38,"0.847",0.119034273506275
1981,"37,016","3,129","35,745","39.1","3,801",3580.22,"0.817",0.100160863009061
1982,"35,080","2,902","33,666","36.2","3,053",5702.23,"0.917",0.169376522307372
1983,"31,004","2,461","29,800","30.7","2,346",5296.95,"0.919",0.177750596478512
1984,"27,380","2,057","26,369","25.7","3,162",2810.74,"0.835",0.10659299401947
1985,"26,240","1,920","24,951","24.0","2,941",3052.85,"0.862",0.122352342362923
1986,"24,843","1,778","23,760","22.2","2,470",2697.99,"0.850",0.11355033396043
1987,"23,786","1,680","22,769","21.0","2,812",3434.39,"0.900",0.150839537079737
1988,"21,969","1,515","20,830","18.9","2,688",3473.78,"0.912",0.166765721088991
1989,"20,104","1,342","19,043","16.8","3,246",3674.14,"0.932",0.192940150922391
1990,"18,033","1,149","17,032","14.3","2,773",3264.91,"0.936",0.191692696101456
1991,"16,370","996","15,302","12.4","2,170",3915.34,"0.961",0.255862767521647
1992,"14,096","777","13,014","9.7","2,439",3301.56,"0.962",0.253683199508241
1993,"12,431","614","11,324","7.7","1,450",2899.3,"0.966",0.25602013333922
1994,"11,156","493","10,208","6.2","1,784",1429.43,"0.898",0.140028996581146
1995,"11,285","487","10,465","6.1","2,039",1331.69,"0.880",0.127254223683205
1996,"11,448","502","10,671","6.3","2,048",1591.04,"0.905",0.149105017524788
1997,"11,293","501","10,669","6.3","1,397",1486.5,"0.894",0.139324979145773
1998,"11,176","515","10,462","6.4","1,422",1497.75,"0.894",0.14315822675919
1999,"10,983","525","10,244","6.6","1,211",900.9,"0.782",0.0879407285931826
2000,"11,316","578","10,649","7.2","1,463",204.75,"0.294",0.0192273380349144
2001,"12,274","690","11,738","8.6","2,114",122.42,"0.182",0.0104294635326592
2002,"13,257","813","12,722","10.2","1,943",97.05,"0.152",0.00762839760418795
2003,"14,246","940","13,686","11.7","3,067",68.83,"0.106",0.00502919020027619
2004,"15,237","1,071","14,558","13.4","2,146",47.17,"0.070",0.00324016513370747
2005,"16,274","1,204","15,448","15.0","1,201",59.78,"0.085",0.00386965640454675
2006,"17,349","1,333","16,475","16.6","1,748",58.98,"0.079",0.00357988273425835
2007,"18,445","1,458","17,466","18.2","3,153",52.29,"0.062",0.00299374799615261
2008,"19,503","1,578","18,804","19.7","1,141",39.69,"0.046",0.00211068744914727
2009,"20,592","1,689","19,977","21.1","1,788",47.31,"0.054",0.00236828273221035
2010,"21,658","1,796","20,846","22.4","2,450",44.73,"0.051",0.00214574568620208
2011,"22,677","1,903","21,773","23.8","2,087",59.08,"0.063",0.0027134399786893
2012,"23,649","2,015","23,058","25.2","2,315",47.07,"0.049",0.00204135622034677
2013,"24,609","2,136","23,818","26.7","2,881",45,"0.046",0.00188933533183026
2014,"25,536","2,262","24,648","28.2","1,539",54.09,"0.056",0.00219449853943525
2015,"26,460","2,386","25,609","29.8","1,507",113.69,"0.106",0.00443947221473784
2016,"27,307","2,497","26,400","31.2","1,944",75.61,"0.073",0.00286401515151515
2017,"28,129","2,603","27,265","32.5","974",399.66,"0.286",0.0146582456758065
2018,"28,544","2,674","27,951","33.4","927",598.69,"0.386",0.0214196526001324
2019,"28,650","2,715","28,048","33.9","1,812",581.78,"0.383",0.0207424468229237
2020,"28,636","2,750","28,043","34.3","2,235",513.68,"0.364",0.0183173224359386
2021,"28,580","2,784","28,139","34.8","3,200",558.68,"0.390",0.0198542947510572
2022,"28,398","2,808","27,842","35.1","2,825",700.36,"0.469",0.0251550731456772
2023,"28,077","2,809","27,249","35.1","3,150",863.15999,"0.572",0.0316773396700736
2024,"27,645","2,783","26,634","34.7","3,143",860.18996,"0.588",0.0322964444210827
2025,"27,320","2,739","26,139","34.2","3,131",533.39482,"0.424",0.0204059351472119
2026,"27,470","2,714","26,329","33.9","3,124",533.26099,"0.420",0.0202536733120388
2027,"27,767","2,678","26,560","33.4","3,114",542.2502,"0.415",0.0204158160864147
2028,"28,189","2,638","26,985","32.9","3,103",557.6371,"0.410",0.0206644000088937
2029,"28,710","2,601","27,511","32.5","3,092",576.92782,"0.405",0.0209711100448554
