"Year","OFL (mt)","ABC (mt)","ACL (mt)","Landings (mt)","Total Mortality (mt)"
2013,"fill in","fill in","fill in","45.00","45.00"
2014,"fill in","fill in","fill in","54.09","54.09"
2015,"fill in","fill in","fill in","113.69","113.69"
2016,"fill in","fill in","fill in","75.61","75.61"
2017,"fill in","fill in","fill in","399.66","399.66"
2018,"fill in","fill in","fill in","598.69","598.69"
2019,"fill in","fill in","fill in","581.78","581.78"
2020,"fill in","fill in","fill in","513.68","513.68"
2021,"fill in","fill in","fill in","558.68","558.68"
2022,"fill in","fill in","fill in","700.36","700.36"
