"year","month","fleet","sex","partition","InputN","F.999","F12","F14","F16","F18","F20","F22","F24","F26","F28","F30","F32","F34","F36","F38","F40","F42","F44","F46","F48","F50","F52","F54","F56","F58","F60","F62","F64","F66","F.999.1","F12.1","F14.1","F16.1","F18.1","F20.1","F22.1","F24.1","F26.1","F28.1","F30.1","F32.1","F34.1","F36.1","F38.1","F40.1","F42.1","F44.1","F46.1","F48.1","F50.1","F52.1","F54.1","F56.1","F58.1","F60.1","F62.1","F64.1","F66.1"
2003,"7","Enter Fleet",1,0,49,0,0,0,0,0,0,2.15398578810397,1.07545008602096,1.07545008602096,3.23244623125865,1.07545008602096,0,0,0,1.07070877353535,1.07070877353535,1.07070877353535,2.11108819894848,6.77383036336516,5.1812761806997,5.83384634836154,4.81897969965667,0,1.07070877353535,1.03398241650398,0,0,0,0,0,0,0,0,0,0,2.15398578810397,1.07545008602096,1.07545008602096,3.23244623125865,1.07545008602096,0,0,0,1.07070877353535,1.07070877353535,1.07070877353535,2.11108819894848,6.77383036336516,5.1812761806997,5.83384634836154,4.81897969965667,0,1.07070877353535,1.03398241650398,0,0,0,0
2004,"7","Enter Fleet",1,0,32,0,0,0,0,2.25460437777489,0,0.751552261207515,2.25460437777489,0.751552261207515,2.25460437777489,5.26076101675729,2.25460437777489,2.25460437777489,3.0061566389824,4.50920875554978,1.09260951774043,1.0016329662129,0.976268535948315,4.35073347224377,3.8225873395857,4.15311102074014,6.24840162164655,0,0.621533353177681,0,0,0,0,0,0,0,0,0,2.25460437777489,0,0.751552261207515,2.25460437777489,0.751552261207515,2.25460437777489,5.26076101675729,2.25460437777489,2.25460437777489,3.0061566389824,4.50920875554978,1.09260951774043,1.0016329662129,0.976268535948315,4.35073347224377,3.8225873395857,4.15311102074014,6.24840162164655,0,0.621533353177681,0,0,0,0,0
2005,"7","Enter Fleet",1,0,60,0,0,1.37700028624985,1.7902157954514,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40016805636352,2.8539571733289,10.7406022327488,5.5627118018043,6.12066816255298,5.28177142487788,0,0,0,0,0,0,0,0,1.37700028624985,1.7902157954514,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40016805636352,2.8539571733289,10.7406022327488,5.5627118018043,6.12066816255298,5.28177142487788,0,0,0,0,0,0
2006,"7","Enter Fleet",1,0,30,0,0,0,0,0,0,2.58791679544308,0,0,0,0,0,0,0,0,2.81834506339711,3.31323769321352,3.31323769321352,0,0,16.6057016325588,5.47824624135894,3.16653039188454,3.16653039188454,0,0,3.31323769321352,0,0,0,0,0,0,0,0,2.58791679544308,0,0,0,0,0,0,0,0,2.81834506339711,3.31323769321352,3.31323769321352,0,0,16.6057016325588,5.47824624135894,3.16653039188454,3.16653039188454,0,0,3.31323769321352,0,0
2007,"7","Enter Fleet",1,0,57,0,0,0,0,3.13862917920921,3.13862917920921,6.27713663535544,3.13862917920921,3.13850745614622,2.09241945280614,2.09241945280614,0,0,3.13850745614622,1.8707617551005,0,0.824552028697429,2.86864742549636,2.70152166001044,1.79724102505426,0,1.70229703592169,1.90959141219446,1.83351449782542,0,0,0,0,0,0,0,0,0,3.13862917920921,3.13862917920921,6.27713663535544,3.13862917920921,3.13850745614622,2.09241945280614,2.09241945280614,0,0,3.13850745614622,1.8707617551005,0,0.824552028697429,2.86864742549636,2.70152166001044,1.79724102505426,0,1.70229703592169,1.90959141219446,1.83351449782542,0,0,0,0,0
2008,"7","Enter Fleet",1,0,43,0,0.515967466440162,2.06384172156895,0.515967466440162,9.28724553077272,8.51330840320833,0,0.257969661124231,0,0.25279112985139,0.50558225970278,0.50558225970278,2.67020833175022,1.64516872583645,1.86035921557635,0.603664767778053,2.82415706035043,7.08833983323441,2.93870392057034,5.74819785704496,1.70747996626074,4.5594716322027,2.6802839523789,0.367337990071292,0,0,0.521765169930408,0,0,0,0.515967466440162,2.06384172156895,0.515967466440162,9.28724553077272,8.51330840320833,0,0.257969661124231,0,0.25279112985139,0.50558225970278,0.50558225970278,2.67020833175022,1.64516872583645,1.86035921557635,0.603664767778053,2.82415706035043,7.08833983323441,2.93870392057034,5.74819785704496,1.70747996626074,4.5594716322027,2.6802839523789,0.367337990071292,0,0,0.521765169930408,0,0
2009,"7","Enter Fleet",1,0,20,0,0,0,5.58057934190192,5.94081187062427,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16780236158546,4.53343012863876,0,5.23134627970543,10.4626925594109,0,0,0,0,0,0,0,0,0,5.58057934190192,5.94081187062427,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16780236158546,4.53343012863876,0,5.23134627970543,10.4626925594109,0,0,0,0,0,0
2010,"7","Enter Fleet",1,0,51,0,0,0,0,0.821403643389711,4.47524001904436,6.4262701248515,2.75412897470151,0,0,1.00602301039582,1.00602301039582,3.01816147954349,7.17343773834342,7.17334528998738,0.903405335194627,1.90942834559044,2.17595695604543,0.903405335194627,1.28031728275792,3.2085126446239,0,3.35439615045045,0.640204865556978,1.9205221483149,0,0,0,0,0,0,0,0,0.821403643389711,4.47524001904436,6.4262701248515,2.75412897470151,0,0,1.00602301039582,1.00602301039582,3.01816147954349,7.17343773834342,7.17334528998738,0.903405335194627,1.90942834559044,2.17595695604543,0.903405335194627,1.28031728275792,3.2085126446239,0,3.35439615045045,0.640204865556978,1.9205221483149,0,0,0,0
2011,"7","Enter Fleet",1,0,40,0,0,0,0,0.93790289683135,2.82196081942638,2.98509906062709,9.98614510984519,9.06284213343258,3.58209214520941,5.80702647062459,2.65882257822567,2.3880725666159,1.86130610153059,0.788662978042989,1.15870581227175,0,0.354774725232505,0.276329386232041,0.39413103244824,0.354774725232505,0.354774725232505,0,0.318892998619856,0,0.331454943877171,0,0,0,0,0,0,0,0.93790289683135,2.82196081942638,2.98509906062709,9.98614510984519,9.06284213343258,3.58209214520941,5.80702647062459,2.65882257822567,2.3880725666159,1.86130610153059,0.788662978042989,1.15870581227175,0,0.354774725232505,0.276329386232041,0.39413103244824,0.354774725232505,0.354774725232505,0,0.318892998619856,0,0.331454943877171,0,0,0
2012,"7","Enter Fleet",1,0,46,0,0,1.11802733662256,1.11802733662256,0,0,0,0.829314335094052,0,2.42459128650495,6.16338669272233,5.33407235762828,1.79914135880183,1.94886021478843,0.489492868304827,2.93895029761071,0.978985736609653,1.9108491835221,2.4803028354521,4.95903967336139,2.25726682177951,4.68921355128855,1.48162349337986,0.985581908077842,0,0,0,0,0,0,0,1.11802733662256,1.11802733662256,0,0,0,0.829314335094052,0,2.42459128650495,6.16338669272233,5.33407235762828,1.79914135880183,1.94886021478843,0.489492868304827,2.93895029761071,0.978985736609653,1.9108491835221,2.4803028354521,4.95903967336139,2.25726682177951,4.68921355128855,1.48162349337986,0.985581908077842,0,0,0,0,0
2013,"7","Enter Fleet",1,0,27,0,0.994231822341193,1.98855239953173,1.98855239953173,0,0,0,1.3591030079906,2.71811726113186,2.7182060159812,5.43632327711305,2.71811726113186,0,1.3591030079906,0,1.27514092051204,2.68802936720455,2.82577689338501,2.15496774205001,2.6578527184279,1.41288844669251,3.56785618874251,0,0.735422681656769,0,0,0,0,0,0,0.994231822341193,1.98855239953173,1.98855239953173,0,0,0,1.3591030079906,2.71811726113186,2.7182060159812,5.43632327711305,2.71811726113186,0,1.3591030079906,0,1.27514092051204,2.68802936720455,2.82577689338501,2.15496774205001,2.6578527184279,1.41288844669251,3.56785618874251,0,0.735422681656769,0,0,0,0,0
2014,"7","Enter Fleet",1,0,73,0,0,0.122153714742354,0.610746855565313,0.732911429380895,1.81262908044608,0.93794159099974,0.571491305845906,0.571491305845906,0.756909981214889,0,0.410082041384145,0.410082041384145,0.079151784759269,0.562934356142201,0.81342059829367,2.93058152834723,3.86733948036511,3.52978518907112,5.12074800771298,5.48900089902267,3.47475140595136,3.98590970094221,2.06754582447459,1.69560084826736,0,0,0,0,0,0,0.122153714742354,0.610746855565313,0.732911429380895,1.81262908044608,0.93794159099974,0.571491305845906,0.571491305845906,0.756909981214889,0,0.410082041384145,0.410082041384145,0.079151784759269,0.562934356142201,0.81342059829367,2.93058152834723,3.86733948036511,3.52978518907112,5.12074800771298,5.48900089902267,3.47475140595136,3.98590970094221,2.06754582447459,1.69560084826736,0,0,0,0
