"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35"
2003,"7","Enter Fleet",3,0,"1","Enter","Enter",41,0,0,4.35883914664293,3.27301573754302,2.51997293252334,0,1.43102518067845,1.43102518067845,3.5379752430129,1.43102518067845,3.6597484065852,5.34011137900868,3.99428169074189,3.74052409706495,1.43102518067845,0,0,0,0.68011607314315,0,0,0,1.04695963349174,0,0,1.43102518067845,0,0,0,0,0,0,0,0,0,1.08894775184489,0,6.54610767856762,2.18414418917972,0,1.05343692942643,3.35722058469407,7.29610234432391,5.71061270647333,8.71493496794882,3.60480569636266,8.57814971850434,8.92899054772014,2.58291700831228,1.04695963349174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"7","Enter Fleet",3,0,"1","Enter","Enter",29,0,0,1.98403610558956,0,11.9043214453975,0.471076905178282,13.9004109148975,2.33877184606701,0,4.84796777664173,6.46395703552231,1.61598925888058,3.31016816538892,2.92524660920531,0.654602472197344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694850226472227,1.98403610558956,13.8884099569171,4.86085963543291,1.98403610558956,2.52973905515252,1.61598925888058,1.61598925888058,0,3.23197851776116,0,7.13380963336287,0,0,0,2.27059173107792,1.61598925888058,0.654602472197344,1.61598925888058,0,0.654602472197344,0,1.61598925888058,0,0,0,0,0,1.61598925888058,0,0,0,0
2005,"7","Enter Fleet",3,0,"1","Enter","Enter",53,1.37699075003867,1.79020339757751,0,0,0,0,0,1.7112543889416,3.40865807461374,5.93987409710728,6.43757603458982,2.93496402279826,7.19590203859268,0,1.84514452054636,1.81975156455236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.205325133717,9.62208356129283,16.9957362918436,10.0983169087077,9.98866550782449,5.17739288212359,1.7112543889416,0,0,3.55455214905203,0,1.47509989819733,0,0,0,0,1.7112543889416,0,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",3,0,"1","Enter","Enter",26,0,0,2.58792691991706,0,0,0,0,0,6.1319979656508,3.31325065529518,0,9.09980047728962,3.33281170533234,3.31325065529518,0,6.19107233676304,3.31325065529518,3.16654278001643,0,0,0,0,0,0,0,0,0,0,0,0,3.31325065529518,0,0,0,0,0,0,2.89464418449982,7.76338953875044,0,0,0,6.47979343531161,8.9957356910919,6.07800946754822,0,3.16654278001643,9.38695669183522,8.13896169946403,0,0,0,0,0,0,3.33281170533234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,"7","Enter Fleet",3,0,"1","Enter","Enter",51,0,1.06921791980987,6.41506401671399,8.55337810526111,6.41506401671399,1.06921791980987,2.96305585452208,1.06921791980987,0.80392233255575,5.59227026790106,0.898766418132144,0.898766418132144,1.93145901615393,0.956598177629945,2.55859879125535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13831408854712,7.48428193652386,5.32587892099329,6.49274120104998,4.91606481053098,1.91745764280183,0.971695310635687,2.84812284196224,6.37963445457954,3.4781846428067,2.57941822467456,6.99873865888758,0,1.70207999532476,0.964633748423324,0.985818435060413,1.86766145409741,0,0,0.877338229349801,0,0.877338229349801,0,0,0,0,0,0,0,0,0,0,0
2008,"7","Enter Fleet",3,0,"1","Enter","Enter",38,4.59916852139588,15.637124979753,0,0,1.54607027374003,1.96348933055774,1.55790054652021,5.18125153727556,5.40761048886863,6.35842367014416,4.10359287544019,4.73081330125802,2.73572058479462,0.683924147074527,0,1.79205835947952,0,0,0.683924147074527,0,0.223719336976801,0,0,0.20303435698388,0.22115171185007,0,0,0,0,0,0,0,0,0,0,17.4767923883113,13.6921849409986,0,0,2.09590199830825,1.28522835665993,1.75980706816805,1.11499721040728,0.683924147074527,0.874816276823584,0.18474902664211,1.16997318391515,0.20303435698388,0.190364206825803,0.16375209219454,0.683924147074527,0,0,0,0.18474902664211,0,0,0,0,0,0.414755445704927,0,0,0,0,0,0,0,0,0.192067958078121
2009,"7","Enter Fleet",3,0,"1","Enter","Enter",19,0,11.5208412391999,0,0,0,0,0,4.53343012863876,0,2.6343722329467,4.53343012863876,0,0,0,5.23134627970543,0,0,0,0,0,5.23134627970543,0,0,5.23134627970543,0,0,0,0,0,0,0,0,0,0,0,0,5.94081187062427,0,0,0,6.12560290825895,0,0,2.9649062020492,9.43314249258911,5.23134627970543,5.23134627970543,0,5.23134627970543,5.23134627970543,5.23134627970543,5.23134627970543,0,0,0,0,5.23134627970543,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",3,0,"1","Enter","Enter",46,0,0,14.4770293782114,0,1.00602208034494,2.01213660896046,10.1914973476591,5.16129449766383,4.45905743441257,1.5357506707122,1.22438489543176,1.80671655175347,0,0,1.72083210839375,1.28031609912673,0,0,1.27319758229283,0.800879367949664,0.640204273698652,0.640204273698652,1.28031609912673,0,0,0.640204273698652,0,0,0,0,0,0,0,0,0,0,4.08889455904948,19.0488737027196,0,0,0,5.07393088197499,2.57597861116812,4.71745035065629,2.05577219266959,1.70428386796168,2.07407695024249,1.28161037491472,1.18629620795684,0.640204273698652,0.640204273698652,0,0.611083068469038,0,0.640204273698652,0,0,0,0,0,0.800879367949664,0,0,0,0,0,0.903404500012018,0,0,1.80680900002404
2011,"7","Enter Fleet",3,0,"1","Enter","Enter",36,0,0.774765691009811,5.09060148077469,17.0746464525988,15.2718378517976,2.38263001380145,0.867777665299217,3.77597210709874,0.867777665299217,0.354775199345976,0,0,0,0,0,0.354775199345976,0.748906758502627,0,0,0.331455386826578,0,0.318893424781744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681720307246882,1.55223754937503,21.3877760750083,14.4040601864984,2.85390404732385,1.22689609620325,2.42001521467424,0,0.586469898231403,1.05289955809289,0.780345073088235,0.331455386826578,0.686230586172554,0,0.751278831122795,0,1.77387599672988,0.586469898231403,0.354775199345976,0,0,0,0,0.354775199345976,0,0,0,0,0,0,0,0,0,0
2012,"7","Enter Fleet",3,0,"1","Enter","Enter",41,0,2.23596613069853,0,0.484938619839727,14.8919672164599,2.14352455799593,1.46392714389233,3.43965221468274,2.81329886863474,1.56481563648253,3.00055474434543,0.496042997669504,1.73541494544856,0.496042997669504,2.70496000288524,2.48030989755974,0.496042997669504,1.48817644761462,0.496042997669504,0.978988524052604,0.496042997669504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559015259977687,3.35394919604779,0,1.45476840491307,18.791407109744,6.03204989187468,3.42850038224685,2.42972328744631,2.7982083038917,0.945485572138831,3.47244334750486,1.48817644761462,2.75179769911597,1.81978923511242,1.81978923511242,0.271487801556226,0.898505512089773,0.952034307782033,0.496042997669504,0,1.06872518420692,0,0.489494262026302,0,0.500408821431639,0,0.271487801556226,0,0,0,0,0,0,0,0
