"Data_type","Fleet","lambda_2015","Value_2015","Value_data","Value_bio","Value_coast","Name"
4,1,0.7034,0.128,0.159573,0.167557,0.16476,"CA_TWL_len"
4,2,0.4561,0.128,0.167997,0.187947,0.234436,"OR_TWL_len"
4,3,0.4429,0.128,0.130094,0.140338,0.153417,"WA_TWL_len"
4,4,0.9871,0.325,0.113549,0.124337,0.210174,"CA_NTWL_len"
4,5,0.7753,0.325,0.016376,0.02223,0.113581,"OR_NTWL_len"
4,6,0.5091,0.325,1.30475,1.37965,2.1434,"WA_NTWL_len"
4,7,1,0.092,0.050687,0.057522,0.073029,"CA_REC_len"
4,8,1,0.092,0.208691,0.208851,0.154412,"OR_REC_len"
4,9,0.8585,0.092,0.90045,0.932427,0.468329,"WA_REC_len"
4,10,0.8889,0.176,NA,NA,NA,"CA_ASHOP_len"
4,11,0.5509,0.176,0.210312,0.220203,0.205232,"OR_ASHOP_len"
4,12,0.5351,0.176,0.135227,0.135396,0.111094,"WA_ASHOP_len"
4,16,NA,0.081,0.075853,0.082584,0.081,"CA_NWFSC_len"
4,17,NA,0.081,0.103865,0.105514,0.081,"OR_NWFSC_len"
4,18,NA,0.081,0.059345,0.06334,0.081,"WA_NWFSC_len"
4,19,NA,0.093,0.159859,0.167831,0.093,"CA_Tri_early_len"
4,20,NA,0.093,0.10931,0.111222,0.093,"OR_Tri_early_len"
4,21,NA,0.093,0.069405,0.071403,0.093,"WA_Tri_early_len"
4,22,NA,0.114,0.437458,0.404007,0.114,"CA_Tri_late_len"
4,23,NA,0.114,0.06309,0.066063,0.114,"OR_Tri_late_len"
4,24,NA,0.114,0.040952,0.042567,0.114,"WA_Tri_late_len"
4,28,0,NA,NA,NA,0.043762,"coastwide_NWFSC_len"
4,29,0,NA,NA,NA,0.092032,"coastwide_Tri_early_len"
4,30,0,NA,NA,NA,0.046338,"coastwide_Tri_late_len"
5,1,0.2966,0.266,0.282404,0.304828,1.45457,"CA_TWL_age"
5,2,0.5439,0.266,0.390459,0.372083,0.33659,"OR_TWL_age"
5,3,0.5571,0.266,0.232978,0.240897,0.218552,"WA_TWL_age"
5,4,0.0129,NA,0.695329,0.68316,0.553297,"CA_NTWL_age"
5,5,0.2247,NA,0.531065,0.587338,0.568808,"OR_NTWL_age"
5,6,0.4909,NA,1.77253,1.82715,1.38708,"WA_NTWL_age"
5,7,0,0.1,NA,NA,NA,"CA_REC_age"
5,8,0,0.1,3.57077,3.55812,1.75025,"OR_REC_age"
5,9,0.1415,0.1,1.59879,1.67891,0.547683,"WA_REC_age"
5,10,0.1111,0.235,NA,NA,NA,"CA_ASHOP_age"
5,11,0.4491,0.235,0.528611,0.549984,0.495935,"OR_ASHOP_age"
5,12,0.4649,0.235,0.214449,0.213881,0.130882,"WA_ASHOP_age"
5,16,NA,NA,0.923558,0.899727,NA,"CA_NWFSC_age"
5,17,NA,NA,0.192274,0.209311,NA,"OR_NWFSC_age"
5,18,NA,NA,0.419255,0.428013,NA,"WA_NWFSC_age"
5,19,NA,NA,0.140308,0.150461,NA,"CA_Tri_early_age"
5,20,NA,NA,0.066385,0.067332,NA,"OR_Tri_early_age"
5,21,NA,NA,0.929074,0.887618,NA,"WA_Tri_early_age"
5,22,NA,NA,0.023664,0.041537,NA,"CA_Tri_late_age"
5,23,NA,NA,0.237676,0.226627,NA,"OR_Tri_late_age"
5,24,NA,NA,0.625862,0.623869,NA,"WA_Tri_late_age"
5,28,0,NA,NA,NA,0.174454,"coastwide_NWFSC_age"
5,29,0,NA,NA,NA,0.104955,"coastwide_Tri_early_age"
5,30,0,NA,NA,NA,0.129898,"coastwide_Tri_late_age"
